#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-09-24T05:58:47 [V7.5.2]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-09-24T05:58:47	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-source=V/28/adjarea&-order=I&-out=ID&-out=X&-out=Y&-out=V&-out=B-V&-out=U-B&-out=pmX&-out=pmY&-out=Cl_mem&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.2	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_5028
#Name: V/28
#Title: Proper Motions, UBV Photometry, Four Open Clusters (Frolov 1980)
#INFO	ivoid=ivo://cds.vizier/v/28	    IVOID of underlying data collection
#INFO	creator=Frolov V.N.	    First author or institution
#INFO	cites=bibcode:1977IzPul.195...80F	    Article or Data origin sources
#INFO	original_date=1977	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/V/28	    Dataset landing page
#INFO	publication_date=1997-12-09	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	V_28_adjarea:
#Name: V/28/adjarea
#Title: Photometry and Proper Motions Data
#Column	ID	(I4)	Star Number	[ucd=meta.id;meta.main]
#Column	X	(F6.2)	X-Coordinate	[ucd=pos.cartesian.x;instr.det]
#Column	Y	(F6.2)	Y-Coordinate	[ucd=pos.cartesian.y;instr.det]
#Column	V	(F5.2)	*? V Magnitude	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F5.2)	? B-V color index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	U-B	(F5.2)	? U-B color index	[ucd=phot.color;em.opt.U;em.opt.B]
#Column	pmX	(I4)	X-annual proper motion	[ucd=pos.pm]
#Column	pmY	(I5)	Y-annual proper motion	[ucd=pos.pm]
#Column	Cl_mem	(I4)	*Cluster Membership	[ucd=meta.code.member]
ID;X;Y;V;B-V;U-B;pmX;pmY;Cl_mem
1423; 14.28;  9.74;14.14; 0.90; 0.15;  81;   47;   0
1424; 15.34;  8.80;13.85; 0.72; 0.23;  37;   -7;   0
1425; 14.92; 10.07;13.18; 0.30;-0.09; -19;    5;   0
1426; 12.72; 11.20;13.88; 0.47; 0.38; -56;   12;   0
1427; 15.10; 10.15;14.70; 0.62;     ;  -3;   43;   0
1428; 13.34; 11.17;12.80; 0.53; 0.01;  36;   -5;   0
1429; 15.42; 11.14;14.89; 0.36; 0.10;   6;   20;   0
1430; 16.03;  9.86;14.22; 1.00;     ;  26;   77;   0
1431; 17.18;  6.81;13.72; 0.75;     ;  53;   56;   0
1432; 20.02;  6.70;14.46; 0.94;     ; 121;   85;   0
1433; 17.87;  7.22;14.14; 0.77;     ;  22;   41;   0
1434; 17.79;  7.54;12.77; 0.61; 0.53;  19;   42;   0
1435; 19.40;  7.20;12.06; 1.26; 1.17;-208; -138;   0
1436; 19.29;  7.50;15.66; 0.40;     ;  64;   26;   0
1437; 19.94;  7.52;14.11; 1.10;     ;  81;   50;   0
1438; 20.26;  8.11;15.13; 0.71;     ; -42;   87;   0
1439; 20.23;  8.43;14.88; 0.92;     ; 119;  170;   0
1440; 19.16;  9.11;14.62; 0.75; 0.13; -38;   31;   0
1441; 19.90;  9.08;13.41; 0.24; 0.06;  26;   80;   0
1442; 18.87;  9.64;14.40; 0.89;     ;  98;   70;   0
1443; 19.71;  9.81;14.96; 0.53;     ;  31;  -41;   0
1444; 16.88; 10.37;15.26; 0.72;     ; -18;   14;   0
1445; 17.05; 10.51;15.08; 0.76;     ;  69;   59;   0
1446; 16.76; 10.96;11.81; 0.59; 0.37; 240;   68;   0
1447; 17.54; 11.01;14.62; 0.49; 0.06;  68;   23;   0
1448; 17.97;  9.97;15.38; 0.68;     ;   9;  146;   0
1449; 18.70; 10.35;12.36; 0.22;-0.21;  82;   66;   0
1450; 19.47; 10.94;13.02; 0.33; 0.43;  51;   29;   0
1451; 20.61; 11.39;13.82; 0.69; 0.29; 189;  -16;   0
1452; 21.30; 10.41;15.06; 0.79;     ;   4;   70;   0
1453; 22.64;  6.84;15.15; 0.80;     ; -18;    6;   0
1454; 22.02;  7.69;14.49; 1.43;     ; 100;   24;   0
1455; 22.90;  7.73;13.98; 0.67; 0.25;  38;   83;   0
1456; 23.09;  7.95;12.88; 0.34;-0.11;  28;   87;   0
1457; 25.16;  6.99;15.34; 0.73;     ; 182;   60;   0
1458; 25.32;  6.83;14.89; 0.52;-0.19;  64;   20;   0
1459; 25.36;  7.25;14.60; 0.89;     ;  38;  118;   0
1460; 25.48;  7.64;15.35; 0.52;     ;  36;   84;   0
1461; 25.32;  8.82;14.79; 0.88;     ; -15;   45;   0
1462; 22.09; 10.14;15.24; 0.77;     ;   2;   36;   0
1463; 22.47;  9.76;15.44; 0.73;     ;  96;   14;   0
1464; 22.96;  9.72;15.27; 0.82;     ;  40;    6;   0
1465; 23.55; 10.96;13.92; 1.98;     ;  16;   90;   0
1466; 24.58; 10.03;14.49; 0.99;-0.01; 103;  121;   0
1467; 25.13; 10.47;15.44; 0.58;-0.40;  43;   60;   0
1468; 25.91; 10.19;12.83; 0.92; 0.64;  10;    0;   0
1469; 26.06; 10.05;14.45; 0.48; 0.40;  -1;   11;   0
1470; 25.67; 11.47;14.70; 0.85;     ; -65;  -32;   0
1471; 26.96;  6.62;12.57; 0.27;-0.19;  26;   -2;   0
1472; 27.81;  7.14;13.58; 1.53; 0.43; -59;   25;   0
1473; 28.63;  7.34;15.39; 0.63;     ;-111;   -4;   0
1474; 29.34;  7.14;14.79; 0.54;-0.05; -38;   54;   0
1475; 30.34;  6.81;     ;     ;     ; -66;   26;   0
1476; 30.77;  6.75;     ;     ;     ; -42;   60;   0
1477; 31.41;  7.04;     ;     ;     ; -48;  -30;   0
1478; 31.15;  7.95;     ;     ;     ; -33;   40;   0
1479; 29.09;  8.44;15.38; 0.72;     ; -75;   19;   0
1480; 28.40;  9.03;15.15; 0.73;     ;  82;  -37;   0
1481; 28.83;  9.33;14.17; 1.72;     ; -20;   -3;   0
1482; 29.01;  9.33;14.08; 0.74; 0.40; -20;   46;   0
1483; 31.41;  9.24;     ;     ;     ; -14;   96;   0
1484; 26.47;  9.85;13.14; 0.63; 0.27;  52;   58;   0
1485; 26.58; 10.64;14.60; 1.49;     ; -63;    1;   0
1486; 27.09; 11.06;14.88; 0.87;     ;  18;   11;   0
1487; 27.68; 11.48;14.30; 0.64; 0.24; -62;   70;   0
1488; 28.95; 10.75;14.19; 0.88;     ; -44;   28;   0
1489; 29.62; 11.26;12.77; 0.42;     ; -85;   86;   0
1490; 29.70; 11.24;14.28; 0.64;     ; -96;   35;   0
1491; 30.35; 11.44;     ;     ;     ;   2;  104;   0
1492;-27.69; 10.90;     ;     ;     ;  97;   65;   0
1493;-25.61; 10.69;14.74; 1.13;     ; -11;   65;   0
1494;-24.80; 10.90;13.73; 1.95;     ;-184;  -54;   0
1495;-28.42; 12.48;     ;     ;     ; 141;   11;   0
1496;-27.35; 11.89;     ;     ;     ;  54;   34;   0
1497;-26.75; 12.05;14.06; 1.14; 0.32;  -5;   54;   0
1498;-26.87; 12.86;13.80; 1.04; 0.80;  79;   48;   0
1499;-25.30; 12.44;12.41; 0.63;-0.10;  18;   49;   0
1500;-25.39; 13.15;14.77; 0.93;     ;  14;   28;   0
1501;-24.62; 12.11;12.87; 0.73; 0.25;  -4;  -10;   0
1502;-26.32; 13.63;13.40; 2.83;     ;  -8;  -12;   0
1503;-25.60; 14.86;13.13; 0.71; 0.01;  -8;   34;   0
1504;-22.26; 12.23;13.66; 0.97; 0.44; -55;   34;   0
1505;-18.61; 12.15;13.38; 0.95; 0.56; -59;   75;   0
1506;-23.20; 13.44;     ;     ;     ;  10;   39;   0
1507;-19.06; 13.27;15.07; 0.77;-0.13; -58;   58;   0
1508;-18.00; 12.12;13.84; 0.94; 0.49;  -9;   62;   0
1509;-16.11; 11.90;14.08; 1.03;     ; -88;  143;   0
1510;-15.50; 12.17;11.94; 2.04; 1.57; -44;    8;   0
1511;-17.04; 13.48;13.68; 0.87; 0.15; -39;  -33;   0
1512;-13.72; 13.18;14.56; 0.63;     ; -12;   63;   0
1513;-16.20; 14.38;14.54; 1.24;     ;  14;   82;   0
1514;-14.57; 14.75;14.00; 1.24;     ; -53;   10;   0
1515;-12.57; 11.26;14.94; 0.63;     ; -13;   42;   0
1516; -8.85; 11.29;14.86; 0.61;     ; -84;  106;   0
1517;-10.28; 11.89;13.66; 1.69;     ;-119;  -28;   0
1518; -9.64; 11.84;15.00; 1.01;     ; -31;   -8;   0
1519;-12.50; 12.82;13.02; 1.00;     ; 161;   77;   0
1520;-12.50; 12.93;12.54; 0.54;     ; -23;    0;   0
1521;-12.79; 13.26;14.30; 1.75;     ; -27;   10;   0
1522;-10.29; 13.47;14.10; 0.85; 0.30; -60;   -4;   0
1523; -9.55; 12.86;14.76; 1.04;-0.17; -26;   65;   0
1524; -9.53; 12.70;15.30; 0.61;     ; -98;   30;   0
1525; -9.08; 12.50;13.32; 0.59; 0.00; -50;   56;   0
1526;-13.55; 15.04;13.09; 1.88;     ;  -7;  147;   0
1527;-13.60; 15.22;13.36; 0.69; 0.30;  -3;   -9;   0
1528;-11.64; 14.43;14.42; 0.64;-0.04; -60;   20;   0
1529;-11.38; 15.55;15.14; 0.64;-0.21;-116;   23;   0
1530;-10.14; 14.72;13.31; 1.02; 0.44;  92;   59;   0
1531; -7.18; 11.36;14.21; 0.37;     ; -92;   -6;   0
1532; -7.18; 11.45;11.58; 0.74;     ;-178;   13;   0
1533; -6.46; 11.10;12.70; 2.37;-0.04; -93;   15;   0
1534; -8.11; 11.20;14.97; 0.50; 0.22; -84;    3;7788
1535; -5.63; 11.59;12.93; 0.44;     ; -67;  -27;   0
1536; -6.34; 12.24;10.51; 0.47;-0.16; -51;  -34;7788
1537; -6.12; 12.04;13.62; 1.80;     ; -50;   -2;   0
1538; -3.99; 12.54;15.47; 0.54;     ; -72;   14;7788
1539; -6.85; 13.04;15.18; 0.56;     ; -86;   48;   0
1540; -4.62; 13.77;12.32; 0.40;     ;  31; -116;   0
1541; -4.55; 13.92; 8.28; 9.99;     ;   0;   39;   0
1542; -6.72; 15.65;12.82; 2.49;     ;   4;    8;   0
1543; -5.62; 15.08;15.17; 1.06;     ;-285;   59;   0
1544; -4.05; 15.23;14.58; 1.09;-0.11;  83;  -32;   0
1545; -3.99; 15.59;13.57; 0.87; 0.31;  72;   77;   0
1546; -3.32; 11.75;15.23; 0.75;     ;  36;   22;   0
1547; -2.32; 12.41;14.74; 0.47;-0.06; -66;    3;7788
1548; -2.29; 12.12;15.40; 0.87;-0.33;-136;   80;   0
1549; -1.80; 11.93;15.41; 0.66;-0.33;  32;   57;   0
1550; -1.65; 12.04;15.43; 0.43;-0.05; -44;  120;   0
1551; -1.40; 12.27;15.29; 0.41; 0.07;  -8;    4;7788
1552; -1.61; 11.68;15.71; 0.31;     ;  38;   10;   0
1553; -1.22; 11.72;15.32; 0.48;-0.16; -66;  -40;   0
1554; -1.44; 11.58;12.14; 9.99;     ; -31;  176;   0
1555; -1.44; 11.50;11.70; 0.12;     ; -47;  -78;   0
1556; -1.28; 11.37;15.39; 0.30;     ; -14;   10;   0
1557; -0.64; 11.30;14.14; 0.43; 0.00; -61;   12;7788
1558; -0.83; 12.27;15.10; 0.43; 0.04; -43;   46;7788
1559;  0.14; 11.59;13.43; 0.31;     ;  -5;   30;7788
1560;  0.27; 11.64;14.11; 0.27;     ;  27;   40;7788
1561;  1.06; 11.47;10.90; 0.31;     ; -43;    2;7788
1562;  0.44; 11.94;14.52; 1.61;-0.18;-196;   26;   0
1563; -2.05; 13.09;14.72; 0.88;     ; -51;    6;   0
1564; -2.01; 13.13;13.89; 0.57;     ;  -6;   -7;   0
1565; -2.06; 13.34;14.16; 0.58; 0.15; -53;  -36;   0
1566; -1.01; 13.80;15.30; 0.85;     ;  88;   51;   0
1567;  0.15; 13.42;15.11; 1.01;     ;  30;   50;   0
1568;  1.21; 13.06;13.84; 0.97; 0.25; -29;  -13;   0
1569; -2.85;  4.54;11.98; 1.62; 1.40; -66;  100;   0
1570; -0.71; 16.03;13.32; 0.45;-0.03;   8;   -8;   0
1571;  0.61; 14.48;14.98; 0.82;-0.30; -73;  112;   0
1572;  1.59; 12.33;15.17; 0.52;-0.07; -18;  -14;7788
1573;  2.70; 12.49;15.29; 0.93;     ;-102;   63;   0
1574;  2.91; 12.98;15.21; 0.90;     ; -19;  -10;   0
1575;  2.46; 13.26;13.26; 0.37; 0.26; -15;    5;   0
1576;  3.68; 11.86;15.43; 0.52;     ; -62;   82;7788
1577;  4.65; 12.20;14.63; 1.03;     ;  38;  136;   0
1578;  4.58; 12.44;13.52; 2.26;     ; -68;  -74;   0
1579;  1.45; 13.68;14.25; 1.85;     ; -70;   91;   0
1580;  4.40; 13.58;15.40; 0.50;-0.23;   4;   84;   0
1581;  3.95; 14.29;14.51; 0.70; 0.23;  -9;   62;   0
1582;  4.99; 14.24;12.92; 0.40; 0.26; -17;    1;   0
1583;  5.43; 14.30;13.34; 0.43; 0.32; -12;   -5;   0
1584;  5.83; 13.81;13.69; 0.47;-0.10; -43;   -9;   0
1585;  5.58; 14.72;14.17; 1.11; 0.21;-110;   26;   0
1586;  5.44; 15.01;15.17; 0.27;-0.07; -70;   54;   0
1587;  1.54; 15.12;11.93; 0.42; 0.46; -33;   79;   0
1588;  2.91; 14.97;14.41; 1.62;     ; -87;  122;   0
1589;  3.13; 14.99;15.40; 0.91;     ;-110;  102;   0
1590;  7.66; 11.29;14.81; 0.54;     ;  -7;   13;   0
1591;  8.45; 11.57;13.67; 1.00;     ; -20;   36;   0
1592;  9.50; 11.66;14.33; 0.28;     ; -42;  -50;   0
1593;  9.46; 11.90;12.95; 0.35;-0.03;  14;    1;   0
1594;  7.11; 12.55;15.13; 0.60;     ; -16;   90;   0
1595;  7.28; 12.30;14.55; 1.44;     ;  -3;   44;   0
1596;  8.02; 12.30;15.56; 0.99;     ; -39;   13;   0
1597;  8.62; 12.38;14.31; 1.01;     ;  60;   44;   0
1598;  6.47; 12.91;13.19; 0.72; 0.41;  30;   36;   0
1599;  7.09; 13.09;14.91; 0.58;-0.06;   3;   60;   0
1600;  8.22; 13.02;15.29; 0.62;     ; -14;  102;   0
1601;  9.44; 13.06;15.10; 0.57;     ;  14;   70;   0
1602;  9.42; 13.20;13.19; 0.37;-0.17; -41;  -30;   0
1603;  9.31; 13.37;14.18; 0.50;     ;  -4;   -2;   0
1604;  9.18; 13.74;15.49; 0.45;     ;-112;   48;   0
1605;  7.01; 14.02;15.01; 0.70;     ;  74;  -35;   0
1606;  7.94; 14.13;15.36; 0.58;     ; -92;   45;   0
1607;  8.04; 14.92;15.22; 0.78;     ; -11;   10;   0
1608;  8.78; 14.49;15.14; 0.43;     ; -55;   34;   0
1609;  9.63; 14.19;14.41; 1.65;     ; -98;    6;   0
1610;  9.57; 14.92;13.49; 1.50;     ; -38;    8;   0
1611;  9.82; 14.63;15.63; 0.61;     ;   4;   60;   0
1612; 11.06; 14.63;13.58; 0.90; 0.14; -88;  -31;   0
1613;  8.45; 15.66;14.54; 0.95;     ; 180;    6;   0
1614;  8.57; 16.03;13.28; 0.71; 0.12;   6;  -14;   0
1615;  9.18; 15.69;14.93; 0.43;     ; -25;   28;   0
1616; 10.10; 15.34;14.48; 0.35; 0.20;  40;   49;   0
1617; 10.59; 16.14;13.82; 0.62; 0.65;  14;   -3;   0
1618; 14.34; 11.64;14.14; 1.28;     ; 519;  -46;   0
1619; 12.16; 12.85;14.02; 1.44;     ; 236;  100;   0
1620; 12.65; 12.36;14.38; 0.41;     ;  41;   71;   0
1621; 13.20; 12.17;14.94; 0.68;     ; -15;   58;   0
1622; 12.83; 13.21;12.26; 1.44; 1.03;  78;   -6;   0
1623; 13.27; 12.99;13.38; 0.71; 0.51;   9;   22;   0
1624; 14.82; 12.75;13.40; 1.62;     ;  19;   26;   0
1625; 13.59; 14.53;15.34; 0.75;     ;  59;  124;   0
1626; 13.53; 14.98;13.84; 1.48;     ; 236;   54;   0
1627; 13.92; 15.18;14.88; 0.86;     ;  -1;   62;   0
1628; 14.33; 14.39;14.39; 1.09; 0.16; 137;  166;   0
1629; 14.56; 14.19;14.22; 0.85; 0.12;  82;   64;   0
1630; 14.61; 16.18;13.38; 0.83; 0.27;-100;  -70;   0
1361; 16.28; 13.69;15.08; 0.58;     ; -52;  -41;   0
1632; 15.91; 14.64;12.96; 0.31; 0.02;  26;    4;   0
1633; 19.03; 11.61;12.88; 0.89;     ;  47;  -15;   0
1634; 19.05; 12.26;14.37; 0.36;-0.01; -66;   71;   0
1635; 16.62; 13.99;13.70; 0.41;     ; -19;   -4;   0
1636; 21.18; 13.51;13.21; 0.29;-0.16;   3;   27;   0
1637; 18.10; 14.29;14.02; 1.53;     ; -78;   49;   0
1638; 17.79; 15.34;14.45; 0.85;-0.04;  32;  109;   0
1639; 17.48; 15.99;15.05; 0.80;     ;  20;   21;   0
1640; 18.47; 14.94;15.04; 0.66;     ;  -1;   35;   0
1641; 20.09; 15.80;12.94; 1.55; 0.68; -75;  -33;   0
1642; 20.50; 14.91;10.94; 0.28;     ;  84;   16;   0
1643; 20.51; 14.81;     ;     ;     ; -81;  -57;   0
1644; 22.20; 11.74;14.20; 1.23;     ; -94;   24;   0
1645; 25.49; 11.84;12.82; 1.57;     ;  31;   82;   0
1646; 25.79; 11.75;14.44; 0.74; 0.35; -60;   54;   0
1647; 21.63; 12.83;12.20; 0.62; 0.41; 202;   37;   0
1648; 24.30; 12.44;13.07; 0.81; 0.21;  88;   64;   0
1649; 22.23; 13.52;15.08; 0.79;     ;  36;  158;   0
1650; 23.89; 13.70;12.63; 1.46; 1.13;  20;   -4;   0
1651; 24.59; 13.50;13.23; 0.32;-0.07;   3;   83;   0
1652; 25.17; 13.31;12.55; 0.54; 0.25; -13;   14;   0
1653; 25.30; 13.35;15.41; 0.32;-0.36;-111;  128;   0
1654; 25.52; 13.35;14.41; 0.95;     ;  40;   95;   0
1655; 21.48; 14.49;13.89; 0.79;     ; -64;   31;   0
1656; 21.67; 15.50;14.58; 1.09;     ;  -7;   86;   0
1657; 22.37; 16.21;14.93; 0.98;     ; -83;   30;   0
1658; 22.30; 16.39;15.36; 0.77;     ;  30;   29;   0
1659; 22.38; 15.24;13.22; 0.54; 0.35;  65;   17;   0
1660; 22.62; 14.87;13.38; 0.47; 0.26;  50;   51;   0
1661; 22.75; 14.42;12.32; 0.39; 0.20;  32;   40;   0
1662; 22.43; 13.95;12.04; 1.99;     ;  27;   17;   0
1663; 23.57; 16.41;13.72; 1.87;     ;  10;   14;   0
1664; 23.76; 15.59;13.95; 0.52; 0.20;  74;   56;   0
1665; 24.18; 15.39;14.55; 1.36;     ; -22;  -62;   0
1666; 24.49; 14.78;14.08; 1.78;     ;-139;   16;   0
1667; 24.56; 15.58;15.26; 0.54;     ; -34;  218;   0
1668; 24.24; 16.43;14.33; 0.73;     ; -10;   36;   0
1669; 25.30; 14.47;14.67; 1.43;     ; -60;   55;   0
1670; 27.86; 12.11;15.12; 0.86;     ; -70;   16;   0
1671; 28.93; 12.38;13.51; 1.66;     ; -96;   68;   0
1672; 29.84; 12.16;13.87; 0.65;     ;-105;   28;   0
1673; 30.32; 12.45;     ;     ;     ; -58;  106;   0
1674; 31.30; 12.09;     ;     ;     ; -75;   18;   0
1675; 30.86; 12.69;     ;     ;     ; -41;   35;   0
1676; 26.45; 13.25;15.06; 0.67;     ;  16;   52;   0
1677; 27.46; 14.51;14.32; 1.55;     ; -95;   42;   0
1678; 27.68; 14.69;15.05; 0.76;     ; -68;   53;   0
1679; 28.52; 14.97;13.54; 0.70; 0.44; -48;   56;   0
1680; 27.52; 16.25; 9.45; 0.45;     ; 206;  118;   0
1681; 29.01; 15.78;14.62; 1.25;     ;-185;   38;   0
1682; 29.11; 16.08;13.38; 2.36;     ; -58;   79;   0
1683; 29.58; 15.59;13.60; 2.06;     ;  76;  -24;   0
1684; 30.03; 15.46;13.43; 0.83; 0.43;-104;    7;   0
1685;-28.42; 16.00;     ;     ;     ;  73;   27;   0
1686;-28.30; 16.72;     ;     ;     ;  42;   54;   0
1687;-25.97; 16.17;14.43; 0.76; 0.36; -44;   86;   0
1688;-25.58; 18.33;12.87; 0.73; 0.61; -38;  -10;   0
1689;-28.37; 18.89;     ;     ;     ; -14;   43;   0
1690;-28.30; 19.98;     ;     ;     ; 103;  -49;   0
1691;-27.17; 20.16;     ;     ;     ;  50;   35;   0
1692;-23.88; 19.48;14.97; 0.82;     ; -91;    8;   0
1693;-22.02; 15.75;15.58; 0.24;     ;  35;   41;   0
1694;-23.12; 16.99;14.48; 0.60;     ;  -1;  -35;   0
1695;-21.73; 18.23;14.33; 1.20;     ; -26;  -16;   0
1696;-18.94; 18.11;13.87; 1.84;     ; -36;   24;   0
1697;-22.75; 19.05;14.69; 0.73;-0.06; -42;   -7;   0
1698;-22.95; 19.37;13.16; 0.77; 0.45;  28;  -26;   0
1699;-19.23; 19.20;12.87; 1.04; 0.45;  64;   15;   0
1700;-17.74; 17.81;14.04; 1.08; 0.21; -41;   40;   0
1701;-17.97; 18.38;11.94; 1.68; 0.63;-124;   14;   0
1702;-17.71; 18.48;13.21; 1.38; 0.71;-144;  176;   0
1703;-17.03; 18.88;14.12; 0.68; 0.00; -68;   -8;   0
1704;-15.93; 17.48;13.80; 1.94;     ; -78;  -48;   0
1705;-15.75; 17.88;15.30; 0.56;     ; -85;  -27;   0
1706;-15.43; 17.20;14.53; 1.16;     ;  -6;   58;   0
1707;-15.35; 17.69;14.34; 1.26;     ;  76;  -24;   0
1708;-14.54; 18.12;15.23; 0.63;     ;  -3;   74;   0
1709;-14.49; 19.02;13.65; 0.43;-0.02; -38;    2;   0
1710;-16.83; 19.92;14.36; 0.62;     ; -94;   38;   0
1711;-16.60; 20.16;11.76; 0.76; 0.39; 138;  -78;   0
1712;-13.00; 16.99;14.16; 0.82;     ; -64;   -8;   0
1713;-12.70; 17.91;13.80; 1.89;     ;  19;   28;   0
1714;-12.42; 18.32;15.12; 0.65;     ; -39;    4;   0
1715;-10.22; 17.78;14.97; 0.98;     ;  26;   95;   0
1716; -9.97; 17.41;15.45; 0.64;     ;-194;   14;   0
1717;-13.62; 18.86;15.20; 0.63;     ; -19;   -4;   0
1718;-12.97; 19.79;14.80; 1.13;     ; -46;   28;   0
1719;-12.45; 20.23;13.97; 0.93;     ;-160;    4;   0
1720; -5.75; 16.09;14.55; 0.63; 0.00;-126;   47;   0
1721; -5.38; 16.14; 9.82; 1.46;     ;  77;   -3;   0
1722; -5.32; 15.97;13.82; 0.92;     ; -22;   88;   0
1723; -6.20; 16.98;15.37; 0.58;     ;   8;  -54;   0
1724; -3.89; 16.90;12.67; 1.02; 0.41;  18;   95;   0
1725; -4.66; 17.59;11.51; 0.71; 0.34; 481;  122;   0
1726; -4.22; 18.14;13.24; 2.37;     ; -30;  -22;   0
1727; -7.17; 19.14;14.26; 0.80; 0.23;-102;    7;   0
1728; -6.57; 18.84;14.80; 0.70;-0.08;-102;   12;   0
1729; -7.96; 20.85;14.21; 1.25; 0.14; -48;  -14;   0
1730; -7.48; 20.50;14.16; 1.09; 0.17;  98;  -28;   0
1731; -4.91; 20.60;14.62; 0.93;     ; -86;  -14;   0
1732; -1.06; 16.57;14.33; 1.76;     ;  -8;  -14;   0
1733; -0.35; 16.30;11.60; 0.41; 0.30; -49;   64;7788
1734;  0.64; 16.13;13.56; 0.85; 0.13;  36;   18;   0
1735;  1.00; 16.89;12.84; 0.40;-0.32; -35;   17;7788
1736; -2.70; 17.34;13.91; 0.99;     ;-179;   -2;   0
1737; -2.76; 17.48;11.39; 1.61;     ; -86;  -19;   0
1738; -0.63; 17.29;14.33; 0.50;     ; -76;   -2;   0
1739; -0.34; 17.30;15.17; 0.54;-0.22; -22;   20;   0
1740; -3.12; 18.66;13.24; 0.78;     ;  37;   -2;   0
1741; -2.86; 18.76;15.28; 0.98;-0.40;-159;   80;   0
1742; -2.81; 19.29;15.02; 0.75;-0.10;-103;   12;   0
1743; -1.39; 19.25;13.56; 0.55; 0.34; -30;   -7;   1
1744; -3.35; 19.94;14.84; 1.13;     ;  11;   18;   0
1745; -0.92; 20.04;12.88; 1.88;-0.07;  -7;  -88;   0
1746;  1.41; 20.15;15.56; 0.54;     ;   4; -108;   0
1747;  2.16; 16.86;14.75; 1.06;     ;  -8;   12;   0
1748;  3.93; 16.97;13.40; 0.87; 0.29;  19;   98;   0
1749;  4.95; 16.70;12.10; 2.08; 1.63; -43;   22;   0
1750;  6.23; 16.69;14.11; 0.45; 0.06; -69;   70;   0
1751;  4.34; 17.87;14.22; 0.84; 0.08; -80;   46;   0
1752;  4.33; 18.55;14.15; 1.55; 0.23; -55;   -6;   0
1753;  4.23; 19.23;13.74; 0.93; 0.23;-180;  -46;   0
1754;  2.60; 20.14;15.06; 1.02;-0.27; -72;  -96;   0
1755;  3.42; 20.81;11.95; 0.31;-0.15; -75;  -57;   0
1756;  3.84; 20.58;13.76; 1.05; 0.22;   3;   29;   0
1757;  4.51; 20.56;13.84; 0.92; 0.31;   2;  -54;   1
1758;  4.42; 21.02;14.29; 0.48;-0.06; -44;  -12;   0
1759;  6.75; 16.23;11.52; 0.34;-0.09; -13;  -43;   0
1760;  6.39; 17.25;14.23; 0.50; 0.10; -24;    6;   0
1761;  7.64; 17.18;14.42; 0.64; 0.10; -49;   10;   0
1762;  9.40; 16.97;14.93; 0.76; 0.10;  18;   66;   0
1763;  9.61; 17.46;12.20; 1.51; 1.10; 104;  -27;   0
1764;  9.92; 17.25;15.06; 0.73;-0.29; 270;  238;   0
1765; 10.28; 17.54;14.56; 0.39; 0.18;   1;  -52;   0
1766; 10.98; 16.72;13.32; 0.38; 0.20;  10;  -21;   0
1767; 11.14; 16.80;13.96; 0.43;     ; -21;  -35;   0
1768;  9.08; 18.12;15.08; 0.91;     ;  98;   70;   0
1769;  9.25; 18.63;14.20; 0.55; 0.33; -39;   45;   0
1770;  9.94; 18.34;12.31; 1.97; 1.40; -22;   -5;   0
1771; 11.04; 18.64;13.35; 0.69; 0.17; -98;   22;   0
1772; 11.14; 19.26;15.04; 0.76;     ; -18;  -42;   0
1773;  7.40; 19.07;15.26; 0.68;-0.18;-146;   -8;   0
1774;  7.67; 19.20;15.08; 0.73;-0.22;-108;   12;   0
1775;  6.59; 19.83;15.37; 0.74;-0.24; -40;  -12;   1
1776;  7.15; 19.84;15.05; 0.85; 0.01;-132; -112;   0
1777;  7.09; 20.56;14.77; 1.00;-0.25;  14;   62;   0
1778;  7.90; 20.15;15.48; 0.59;-0.31;  -6;   64;   0
1779;  8.09; 20.95;14.96; 0.44;     ; -34;    8;   0
1780;  8.50; 19.93;12.48; 0.37; 0.31; -37;  -26;   0
1781;  8.79; 20.73;15.46; 0.48;-0.22;-120;  -30;   0
1782;  9.29; 20.32;15.28; 0.86;-0.03; -50;   -9;   1
1783; 10.26; 20.13;13.70; 0.86; 0.24;  67;   68;   0
1784; 11.51; 16.59;14.78; 0.78;-0.04;  -6;   78;   0
1785; 14.29; 16.77;14.90; 0.81;-1.25;  -2;   26;   0
1786; 15.25; 17.47;15.16; 0.95;     ;  -1;  108;   0
1787; 16.09; 17.67;13.22; 1.74;     ; -30;   18;   0
1788; 11.43; 18.47;12.40; 0.19;-0.20;   3;   -6;   0
