#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-09-24T06:53:25 [V7.5.2]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-09-24T06:53:25	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/other/ASpR/58.1900/table3&-order=I&-out=ID&-out=RAJ2000&-out=DEJ2000&-out=Vmag&-out=e_Vmag&-out=U-B&-out=e_U-B&-out=B-V&-out=e_B-V&-out=pmRA&-out=e_pmRA&-out=pmDE&-out=e_pmDE&-out=Pmemb&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.2	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_1057005801
#Name: J/other/ASpR/58.1900
#Title: NGC 225 CCD UBV photometry (Bilir+, 2016)
#INFO	ivoid=ivo://cds.vizier/j/other/aspr/58.1900	    IVOID of underlying data collection
#INFO	creator=Bilir S.	    First author or institution
#INFO	cites=bibcode:2016AdSpR..58.1900B	    Article or Data origin sources
#INFO	original_date=2016	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/other/ASpR/58.1900	    Dataset landing page
#INFO	publication_date=2016-11-24	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_other_ASpR_58_1900_table3:
#Name: J/other/ASpR/58.1900/table3
#Title: Photometric and astrometric catalogue NGC 225
#Column	ID	(I4)	Sequential number	[ucd=meta.record]
#Column	RAJ2000	(A11)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A12)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F6.3)	Johnson V magnitude	[ucd=phot.mag;em.opt.V]
#Column	e_Vmag	(F6.3)	? rms uncertainty on Vmag	[ucd=stat.error;phot.mag;em.opt.V]
#Column	U-B	(F6.3)	? Johnson U-B colour index	[ucd=phot.color;em.opt.U;em.opt.B]
#Column	e_U-B	(F6.3)	? rms uncertainty on U-B	[ucd=stat.error;phot.color;em.opt.U]
#Column	B-V	(F6.3)	? Johnson B-V colour index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	e_B-V	(F6.3)	? rms uncertainty on B-V	[ucd=stat.error;phot.color;em.opt.B]
#Column	pmRA	(F5.1)	? Proper motion component (pmRA*cosDE)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F4.1)	? rms uncertainty on pmRA	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F5.1)	? Proper motion component	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F4.1)	? rms uncertainty on pmDE	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	Pmemb	(I3)	? Membership probability	[ucd=stat]
ID;RAJ2000;DEJ2000;Vmag;e_Vmag;U-B;e_U-B;B-V;e_B-V;pmRA;e_pmRA;pmDE;e_pmDE;Pmemb
 669;00 44 26.98;+61 50 50.71;19.137; 0.072;      ;      ; 1.549; 0.147; -7.9; 5.3;  2.9; 5.3; 87
 670;00 44 26.98;+61 43 21.54;16.651; 0.013;      ;      ; 2.461; 0.037;  1.9; 4.7; -1.8; 4.7; 62
 671;00 44 27.22;+61 39 10.03;17.799; 0.027; 1.081; 0.189; 1.723; 0.058;  0.4; 3.8; -0.8; 3.8; 66
 672;00 44 27.46;+61 41 24.18;17.408; 0.021; 1.169; 0.205; 2.181; 0.055;-14.2; 3.9;  6.5; 3.8; 15
 673;00 44 27.57;+61 51 39.05;17.630; 0.024; 1.022; 0.107; 1.295; 0.041;-25.5; 5.2; -2.6; 5.1;  3
 674;00 44 27.84;+61 53 13.46;17.508; 0.022;      ;      ; 2.403; 0.067; -1.5; 3.8;  0.2; 3.8; 85
 675;00 44 27.87;+61 50 11.48;18.251; 0.036; 0.919; 0.186; 1.443; 0.068; -6.8; 5.1;  9.9; 5.1; 43
 676;00 44 28.12;+61 41 21.69;17.885; 0.028; 0.919; 0.111; 1.143; 0.046; 17.5; 4.0;-10.8; 4.0;  0
 677;00 44 28.17;+61 50 05.42;16.364; 0.011; 0.625; 0.028; 0.979; 0.016;  0.1; 3.8;-15.5; 3.8;  2
 678;00 44 28.19;+61 54 45.04;16.910; 0.015; 1.520; 0.079; 1.178; 0.024;  9.7; 3.8; -0.1; 3.8;  4
 679;00 44 28.25;+61 54 06.02;16.589; 0.012; 0.443; 0.031; 1.033; 0.019;-22.1;23.1;148.6;23.1;  0
 680;00 44 28.27;+61 49 22.38;15.287; 0.006; 0.693; 0.015; 1.013; 0.009; -1.5; 3.8; -5.6; 3.8; 51
 681;00 44 28.34;+61 50 22.60;17.420; 0.020; 0.790; 0.083; 1.392; 0.036;-13.7; 3.8; -3.6; 3.8; 23
 682;00 44 28.44;+61 53 27.38;16.849; 0.014; 0.454; 0.034; 0.887; 0.021; -4.3; 3.8; -1.4; 3.8; 96
 683;00 44 28.50;+61 42 52.96;18.602; 0.046; 0.557; 0.149; 1.109; 0.075; -1.5; 4.1; -5.8; 4.1; 54
 684;00 44 28.57;+61 56 48.77;17.520; 0.022; 0.429; 0.067; 1.152; 0.036; -2.4; 3.9;  4.5; 3.9; 71
 685;00 44 28.60;+61 51 39.44;14.719; 0.004; 0.525; 0.011; 1.209; 0.007;  7.1; 3.8; -3.3; 3.8; 10
 686;00 44 28.71;+61 46 08.64;17.420; 0.020; 1.024; 0.112; 1.608; 0.040; -5.9; 3.8; -5.9; 3.8; 55
 687;00 44 28.72;+61 44 25.86;18.179; 0.035;      ;      ; 2.249; 0.101; -0.2; 3.8; -7.9; 3.8; 27
 688;00 44 28.78;+61 55 39.99;14.312; 0.004; 0.772; 0.010; 1.321; 0.006;  2.8; 3.8; -2.8; 3.8; 37
 689;00 44 28.85;+61 56 42.70;18.862; 0.064; 1.007; 0.333; 1.249; 0.109; 10.1; 3.9;-18.8; 3.9;  0
 690;00 44 29.05;+61 45 41.52;17.663; 0.024; 0.822; 0.134; 1.750; 0.051;  5.6; 3.8; -0.9; 3.8; 19
 691;00 44 29.06;+61 55 57.85;17.164; 0.018; 0.489; 0.049; 1.083; 0.027; -0.8; 3.8; -6.0; 3.8; 44
 692;00 44 29.25;+61 45 34.32;18.003; 0.030; 0.771; 0.156; 1.640; 0.062; -1.6; 3.8;  1.7; 3.8; 83
 693;00 44 29.30;+61 44 53.51;18.237; 0.035; 0.850; 0.206; 1.646; 0.075; -5.7; 3.8; -1.9; 3.8; 92
 694;00 44 29.31;+61 51 51.19;19.174; 0.075; 0.076; 0.270; 1.523; 0.154;  5.2; 3.9; -3.5; 3.9; 20
 695;00 44 29.53;+61 56 31.00;17.660; 0.024; 0.519; 0.080; 1.214; 0.041;  0.4; 3.9; -3.1; 3.9; 58
 696;00 44 29.58;+61 41 54.84;17.624; 0.023; 0.586; 0.073; 1.137; 0.038;-72.5;20.3;129.1;20.3;  0
 697;00 44 29.79;+61 49 29.08;16.036; 0.009; 0.549; 0.027; 1.339; 0.015;-16.7; 3.8; -6.0; 3.8;  6
 698;00 44 30.01;+61 40 48.92;14.914; 0.005; 0.563; 0.013; 1.197; 0.008; -4.2; 3.8; -0.9; 3.8; 98
 699;00 44 30.32;+61 50 51.38;18.935; 0.062;      ;      ; 1.906; 0.154; -2.3; 5.1; -8.9; 5.1; 47
 700;00 44 30.40;+61 43 13.80;15.569; 0.007; 0.476; 0.017; 1.084; 0.011;  8.1; 6.9; -6.2; 6.9; 38
 701;00 44 30.40;+61 48 57.07;17.115; 0.017; 0.673; 0.045; 0.946; 0.025; -2.7; 3.8; -1.3; 3.8; 91
 702;00 44 30.41;+61 52 01.09;18.440; 0.042; 1.106; 0.242; 1.355; 0.076;  2.0; 3.9; -1.6; 3.9; 50
 703;00 44 30.80;+61 54 15.68;18.148; 0.034; 0.690; 0.104; 0.956; 0.052;  1.1; 4.0; -6.3; 4.0; 35
 704;00 44 31.40;+61 39 07.18;18.872; 0.061;      ;      ; 1.876; 0.151; -4.0; 3.8;  1.7; 3.8; 96
 705;00 44 31.42;+61 53 45.99;17.133; 0.017; 0.345; 0.043; 1.063; 0.027;  1.2; 3.9; -5.4; 3.9; 38
 706;00 44 31.52;+61 39 18.40;18.776; 0.055;      ;      ; 1.188; 0.093;  1.4; 3.9;  1.5; 3.9; 57
 707;00 44 31.63;+61 51 23.96;17.542; 0.022; 0.896; 0.106; 1.457; 0.041; -2.9; 3.8;  1.5; 3.8; 93
 708;00 44 31.74;+61 39 01.40;17.184; 0.018; 1.807; 0.181; 1.666; 0.036;  2.4; 3.8; -5.7; 3.9; 28
 709;00 44 31.83;+61 53 36.15;16.959; 0.015; 0.475; 0.036; 0.916; 0.023; -3.3; 3.9; -1.7; 3.9; 92
 710;00 44 31.88;+61 41 18.79;17.652; 0.023; 1.043; 0.093; 1.046; 0.037;  0.5; 3.9; -2.8; 3.9; 58
 711;00 44 32.42;+61 42 59.80;19.093; 0.069; 0.269; 0.340; 1.793; 0.163;  8.9; 3.9;  4.5; 3.9;  5
 712;00 44 32.61;+61 55 11.28;18.367; 0.041; 0.676; 0.146; 1.124; 0.067; -9.1; 4.0; -2.1; 4.0; 71
 713;00 44 32.71;+61 43 21.83;17.237; 0.018; 1.321; 0.102; 1.380; 0.032; -3.6; 3.8; -4.6; 3.8; 69
 714;00 44 32.82;+61 54 21.10;18.639; 0.050; 0.364; 0.116; 0.802; 0.072; -5.3; 4.3; -9.7; 4.3; 31
 715;00 44 32.87;+61 49 40.83;16.087; 0.009; 0.510; 0.024; 1.101; 0.014;  1.9; 3.8;  0.4; 3.8; 51
 716;00 44 33.08;+61 47 12.60;15.677; 0.007; 0.667; 0.020; 1.054; 0.011; -1.4; 3.8; -1.8; 3.8; 80
 717;00 44 33.18;+61 39 18.03;16.047; 0.009; 1.198; 0.049; 1.689; 0.017; -1.5; 3.8; -1.2; 3.8; 83
 718;00 44 33.51;+61 53 22.57;17.057; 0.016; 0.382; 0.038; 0.920; 0.024; -3.8; 3.9;  0.2; 3.9; 99
 719;00 44 33.56;+61 54 19.64;18.818; 0.059; 0.575; 0.215; 1.187; 0.100;-11.0; 4.4; -0.7; 4.4; 63
 720;00 44 33.66;+61 51 50.38;17.703; 0.025; 0.748; 0.093; 1.242; 0.041; -3.1; 3.8;  3.3; 3.8; 83
 721;00 44 33.96;+61 53 39.07;18.286; 0.038; 0.623; 0.134; 1.137; 0.064; -1.2; 4.0; -2.9; 4.0; 74
 722;00 44 34.15;+61 47 18.27;18.665; 0.048; 0.204; 0.149; 1.303; 0.087; -1.7; 4.0; -2.2; 4.0; 81
 723;00 44 34.41;+61 46 03.74;18.703; 0.050;      ;      ; 1.805; 0.117; -8.3; 5.1;  1.8; 5.1; 88
 724;00 44 34.49;+61 38 24.68;14.840; 0.005; 0.598; 0.012; 1.143; 0.007;  0.5; 3.8;  2.0; 3.8; 63
 725;00 44 34.64;+61 57 10.85;17.931; 0.030; 0.774; 0.132; 1.319; 0.052;  3.5; 3.9; -0.7; 3.9; 37
 726;00 44 34.65;+61 46 14.64;19.149; 0.071;-0.317; 0.434; 2.235; 0.237;-10.3; 5.1; -1.1; 5.1; 75
 727;00 44 34.76;+61 38 44.75;17.704; 0.025; 0.650; 0.100; 1.364; 0.045;-25.4; 5.1; -8.8; 5.1;  1
 728;00 44 34.90;+61 50 40.78;18.429; 0.042;      ;      ; 2.013; 0.110; -5.3; 3.8; -7.3; 3.8; 42
 729;00 44 34.95;+61 50 09.62;17.266; 0.018; 0.705; 0.060; 1.168; 0.030; -2.9; 3.8; -4.1; 3.8; 72
 730;00 44 34.95;+61 55 42.71;18.554; 0.048; 1.043; 0.251; 1.244; 0.084; -2.3; 4.0; -8.1; 4.0; 35
 731;00 44 35.12;+61 53 29.15;16.641; 0.013; 0.384; 0.035; 1.225; 0.021; -4.3; 3.8;  8.0; 3.8; 39
 732;00 44 35.32;+61 54 45.01;18.439; 0.044; 0.701; 0.155; 1.104; 0.071; -1.0; 4.2;  1.8; 4.2; 81
 733;00 44 35.39;+61 53 39.32;17.965; 0.030; 0.615; 0.089; 0.992; 0.046; -2.9; 3.9; -1.4; 3.9; 92
 734;00 44 35.65;+61 55 05.65;18.198; 0.036; 0.984; 0.148; 1.041; 0.057; -0.9; 4.0; -4.9; 4.0; 57
 735;00 44 35.77;+61 54 25.87;18.190; 0.036; 0.417; 0.087; 0.836; 0.052; -2.6; 4.5;  3.4; 4.5; 85
 736;00 44 36.02;+61 47 11.90;16.616; 0.012; 0.481; 0.030; 0.945; 0.019;  0.8; 3.8;  0.4; 3.8; 63
 737;00 44 36.29;+61 48 19.70;17.928; 0.028; 0.639; 0.093; 1.106; 0.046; -0.2; 3.9; -1.4; 3.9; 72
 738;00 44 36.32;+61 40 03.31;18.666; 0.050;      ;      ; 1.177; 0.084; -3.1; 4.0;  4.6; 4.0; 74
 739;00 44 36.43;+61 39 09.98;17.942; 0.030; 0.429; 0.092; 1.185; 0.049; -0.2; 3.9; -1.3; 3.9; 72
 740;00 44 36.65;+61 52 17.27;17.637; 0.023; 0.465; 0.075; 1.206; 0.040; -1.8; 3.9; -6.0; 3.9; 50
 741;00 44 37.20;+61 49 15.91;16.708; 0.013; 0.584; 0.040; 1.219; 0.022;  3.6; 3.8; -4.3; 3.8; 25
 742;00 44 37.26;+61 42 35.98;18.756; 0.053;-0.042; 0.194; 1.658; 0.115; -3.7; 3.9; -3.4; 3.9; 82
 743;00 44 37.48;+61 54 09.96;18.404; 0.042; 0.458; 0.144; 1.190; 0.072; -8.5; 4.0; -3.4; 4.0; 68
 744;00 44 37.50;+61 43 10.97;18.406; 0.040; 0.756; 0.142; 1.067; 0.064; -1.0; 4.2; -0.1; 4.2; 84
 745;00 44 37.67;+61 48 08.41;16.846; 0.014; 0.818; 0.055; 1.397; 0.024; -5.0; 3.8; -6.7; 3.8; 48
 746;00 44 37.89;+61 51 18.78;15.436; 0.006; 0.156; 0.012; 0.727; 0.009; -0.6; 3.8;  0.6; 3.8; 77
 747;00 44 38.08;+61 48 46.84;14.776; 0.004; 0.316; 0.009; 0.862; 0.007;-11.3; 3.8; 14.0; 3.8;  3
 748;00 44 38.14;+61 53 14.11;16.347; 0.010; 0.482; 0.024; 0.897; 0.015; -1.4; 3.8; -2.4; 3.8; 76
 749;00 44 38.16;+61 45 06.78;10.148; 0.002;-0.067;      ; 0.183; 0.002;  0.8; 1.8;  4.3; 1.7;  3
 750;00 44 38.24;+61 50 48.96;18.768; 0.053;      ;      ; 1.343; 0.099;  2.8;20.1; 16.7;20.1; 30
 751;00 44 38.31;+61 44 13.74;13.558; 0.002; 0.232; 0.005; 0.806; 0.004; -7.8; 3.8; -0.6; 3.8; 85
 752;00 44 38.45;+61 52 16.98;18.549; 0.047;-0.153; 0.299; 2.432; 0.164;  1.2; 3.8; -3.7; 3.8; 46
 753;00 44 38.62;+61 44 41.30;19.376; 0.085; 0.388; 0.327; 1.217; 0.151; 14.6; 4.0;-46.7; 5.3;  0
 754;00 44 38.69;+61 49 58.98;15.719; 0.007; 1.409; 0.047; 1.835; 0.015; -2.7; 3.8;  0.6; 3.8; 94
 755;00 44 38.94;+61 42 26.27;17.014; 0.016; 0.797; 0.056; 1.251; 0.026;  1.8; 3.8; -0.7; 3.8; 52
 756;00 44 39.03;+61 49 02.73;19.332; 0.084;      ;      ; 1.688; 0.197;-20.0;19.9; 24.5;19.9; 63
 757;00 44 39.11;+61 54 51.50;17.481; 0.021; 1.059; 0.105; 1.314; 0.038; -3.5; 3.9; -0.6; 3.9; 97
 758;00 44 39.13;+61 48 16.43;16.901; 0.015; 0.789; 0.059; 1.427; 0.026; -2.8; 3.8;-11.3; 3.8; 12
 759;00 44 39.25;+61 46 38.31;17.946; 0.028; 0.752; 0.123; 1.357; 0.052;  7.3; 3.9; -0.3; 3.9; 12
 760;00 44 39.29;+61 52 04.39;16.330; 0.010; 1.188; 0.040; 1.146; 0.017; -7.6; 3.8;-14.0; 3.8;  4
 761;00 44 39.37;+61 38 35.06;17.234; 0.018; 1.272; 0.131; 1.670; 0.037;  2.3; 3.8; -3.7; 3.8; 37
 762;00 44 39.40;+61 43 19.43;16.301; 0.010; 0.603; 0.027; 1.020; 0.016; -4.0; 3.8; -3.0; 3.8; 85
 763;00 44 39.40;+61 45 58.02;18.352; 0.040; 0.079; 0.753; 2.651; 0.160;  1.6; 3.8; -2.7; 3.8; 48
 764;00 44 39.48;+61 44 25.42;18.527; 0.044;      ;      ; 1.545; 0.090; -5.6; 5.3; -1.3; 5.3; 98
 765;00 44 39.69;+61 39 52.02;18.581; 0.047;      ;      ; 1.396; 0.089; -0.1; 4.0; -0.2; 4.0; 74
 766;00 44 39.72;+61 39 20.66;17.043; 0.016; 0.492; 0.040; 0.927; 0.024; -3.6; 3.9; -0.6; 3.9; 97
 767;00 44 40.06;+61 56 50.77;18.238; 0.038; 0.408; 0.146; 1.433; 0.071; -1.8; 4.0; -4.5; 4.0; 65
 768;00 44 40.18;+61 36 55.85;17.625; 0.024; 1.102; 0.137; 1.445; 0.044;  0.3; 3.8;  0.0; 3.8; 68
 769;00 44 40.37;+61 44 19.10;17.197; 0.017; 0.659; 0.056; 1.146; 0.028;  0.9; 3.8; -2.2; 3.8; 56
 770;00 44 40.38;+61 53 40.19;19.112; 0.074;-0.397; 0.123; 0.776; 0.108;-17.2; 4.4; -8.5; 4.4;  7
 771;00 44 40.41;+61 38 06.25;14.996; 0.005; 0.239; 0.010; 0.861; 0.007;  0.4; 3.8;  9.2; 3.8; 19
 772;00 44 40.41;+61 56 09.90;16.017; 0.009; 0.556; 0.024; 1.180; 0.014;  5.1; 3.8; -2.4; 3.8; 21
 773;00 44 40.46;+61 54 42.48;15.919; 0.008; 0.205; 0.014; 0.580; 0.011; -2.4; 3.8; -3.3; 3.8; 76
 774;00 44 40.74;+61 37 12.50;17.276; 0.019; 0.382; 0.050; 1.056; 0.029; -1.1; 3.9;  1.3; 3.9; 81
 775;00 44 40.79;+61 37 53.81;17.878; 0.028; 1.306; 0.193; 1.428; 0.053;  2.5; 3.9;  2.1; 3.9; 44
 776;00 44 40.84;+61 55 25.65;16.665; 0.013; 0.450; 0.034; 1.096; 0.020; -1.0; 3.8; -1.2; 3.8; 79
 777;00 44 40.85;+61 47 05.30;17.928; 0.028; 0.731; 0.107; 1.237; 0.048;  0.3; 3.9; -2.5; 3.9; 62
 778;00 44 40.94;+61 46 48.50;19.012; 0.062;      ;      ; 1.305; 0.114;  4.1; 4.3; -2.5; 4.3; 36
 779;00 44 40.95;+61 49 15.02;19.303; 0.080; 0.670; 0.266; 0.927; 0.125;  6.9; 4.0;  3.5; 4.0; 13
 780;00 44 40.99;+61 36 42.82;17.631; 0.024; 0.712; 0.086; 1.169; 0.039; -1.4; 3.9; -0.3; 3.9; 85
 781;00 44 41.11;+61 56 55.86;17.292; 0.019; 0.323; 0.046; 0.972; 0.029;  2.0; 3.8; -0.3; 3.8; 50
 782;00 44 41.14;+61 52 16.21;19.371; 0.094;      ;      ; 2.378; 0.331;-17.8; 5.1;-25.2; 5.2;  0
 783;00 44 41.22;+61 39 04.33;17.010; 0.015; 0.595; 0.043; 1.002; 0.024; -5.9; 3.8;  1.3; 3.8; 96
 784;00 44 41.33;+61 57 06.86;18.292; 0.038; 0.216; 0.094; 0.954; 0.059;  5.4; 4.1; -0.9; 4.1; 26
 785;00 44 41.40;+61 52 19.47;19.371; 0.091;      ;      ; 1.021; 0.143;-17.8; 5.1;-25.2; 5.2;  0
 786;00 44 41.51;+61 56 35.06;17.616; 0.024; 1.590; 0.180; 1.340; 0.042;  9.8; 3.8;-11.0; 3.8;  1
 787;00 44 41.52;+61 39 43.91;14.912; 0.005; 0.306; 0.010; 0.880; 0.007; -1.4; 3.8; -3.5; 3.8; 69
 788;00 44 41.74;+61 51 33.10;18.686; 0.050; 1.271; 0.271; 1.112; 0.083;  1.5; 4.3; -1.0; 4.3; 62
 789;00 44 41.81;+61 42 44.99;17.808; 0.026; 0.697; 0.079; 0.962; 0.040; -7.7; 4.0; -8.3; 4.0; 32
 790;00 44 41.86;+61 48 04.01;16.598; 0.012; 0.520; 0.042; 1.471; 0.022;  1.5; 3.8;  4.1; 3.8; 44
 791;00 44 41.89;+61 55 59.80;18.116; 0.034; 0.323; 0.128; 1.454; 0.065;  1.5; 3.9; -4.8; 3.9; 40
 792;00 44 42.00;+61 48 21.37;17.168; 0.017; 0.676; 0.065; 1.306; 0.030;  3.1; 3.8;-13.1; 3.8;  3
 793;00 44 42.09;+61 40 11.71;16.448; 0.011; 0.573; 0.034; 1.261; 0.019;  0.4; 3.8;  1.1; 3.8; 66
 794;00 44 42.40;+61 54 34.32;18.763; 0.058;      ;      ; 1.551; 0.119; -0.5; 4.5;  0.8; 4.5; 82
 795;00 44 42.75;+61 48 25.34;18.647; 0.049;-1.354; 0.106; 1.453; 0.098; 13.1; 4.0; -2.6; 4.0;  1
 796;00 44 42.78;+61 46 48.37;16.140; 0.009; 0.347; 0.020; 0.837; 0.014; -6.0; 3.8; -2.3; 3.8; 88
 797;00 44 42.79;+61 43 57.94;15.348; 0.006; 0.389; 0.012; 0.775; 0.009; -3.0; 3.8; -2.6; 3.8; 85
 798;00 44 42.99;+61 47 29.51;17.213; 0.018; 0.551; 0.054; 1.176; 0.029; -3.1; 3.8; -1.6; 3.8; 91
 799;00 44 43.00;+61 50 50.64;15.488; 0.007; 0.568; 0.018; 1.259; 0.011;  2.1; 3.8;  5.8; 3.8; 30
 800;00 44 43.02;+61 50 00.15;17.457; 0.021; 0.820; 0.117; 1.772; 0.045;  0.7; 3.8; -0.5; 3.8; 63
 801;00 44 43.09;+61 49 02.77;17.146; 0.017; 0.398; 0.065; 1.490; 0.032; -0.5; 3.8;  1.3; 3.8; 75
 802;00 44 43.14;+61 45 33.46;19.080; 0.068;-0.188; 0.258; 1.767; 0.160;  0.1; 6.7;  0.2; 6.7; 89
 803;00 44 43.34;+61 51 01.33;17.520; 0.022; 0.658; 0.068; 1.054; 0.034; -0.3; 3.9;  4.2; 3.9; 60
 804;00 44 43.58;+61 40 21.49;17.748; 0.026; 0.878; 0.192; 1.941; 0.063; -5.7; 3.8;  0.8; 3.8; 98
 805;00 44 43.85;+61 44 37.24;18.614; 0.047; 1.430; 0.300; 1.161; 0.078; -2.1; 4.3;  0.7; 4.3; 92
 806;00 44 44.18;+61 44 19.99;18.989; 0.062; 0.860; 0.296; 1.255; 0.110;-11.0; 4.5; -2.6; 4.5; 58
 807;00 44 44.18;+61 53 33.22;16.846; 0.014; 0.682; 0.046; 1.191; 0.023; -1.9; 3.8; -4.8; 3.8; 60
 808;00 44 44.24;+61 54 28.74;15.719; 0.007; 0.291; 0.015; 0.879; 0.011;     ;    ;     ;    ;
 809;00 44 44.37;+61 42 58.69;18.303; 0.036; 0.593; 0.136; 1.232; 0.062;  8.0; 3.9; -1.2; 3.9;  9
 810;00 44 44.38;+61 45 27.76;17.003; 0.015; 1.737; 0.105; 1.322; 0.027; -9.4; 3.8; -6.8; 3.8; 33
 811;00 44 44.57;+61 56 53.97;16.067; 0.009; 1.654; 0.079; 1.874; 0.018; -4.4; 3.8;-11.4; 3.8; 13
 812;00 44 44.63;+61 44 31.57;17.497; 0.021; 0.902; 0.084; 1.190; 0.035;  6.9; 3.9; 10.5; 3.9;  3
 813;00 44 44.66;+61 39 25.51;17.984; 0.030; 0.303; 0.078; 1.038; 0.048; -0.3; 4.0; -0.8; 4.0; 75
 814;00 44 44.70;+61 52 37.28;18.053; 0.033;-0.716; 0.082; 1.404; 0.065; -0.7; 3.9;131.8; 3.9;  0
 815;00 44 44.95;+61 56 36.15;18.708; 0.058; 0.313; 0.215; 1.429; 0.111; -1.4; 4.2; -3.7; 4.2; 72
 816;00 44 45.26;+61 54 34.95;13.060; 0.002;-0.006; 0.003; 0.467; 0.002;  0.9; 2.8; -2.7; 2.8; 32
 817;00 44 45.34;+61 45 51.47;19.303; 0.078;      ;      ; 0.927; 0.121;  0.9; 5.9;  0.3; 5.9; 82
 818;00 44 45.41;+61 48 35.46;18.028; 0.031;      ;      ; 1.431; 0.057;  3.4; 3.8; -4.3; 3.8; 27
 819;00 44 45.53;+61 44 19.94;16.375; 0.011; 0.591; 0.030; 1.135; 0.017; -1.6; 3.8; -1.7; 3.8; 82
 820;00 44 45.56;+61 43 10.60;17.617; 0.023; 0.491; 0.066; 1.063; 0.037;  0.8; 3.9; -3.1; 3.9; 55
 821;00 44 45.69;+61 49 25.67;17.429; 0.020; 0.761; 0.074; 1.223; 0.034; -1.1; 3.8;  1.3; 3.8; 80
 822;00 44 45.79;+61 56 31.79;18.608; 0.050; 1.129; 0.311; 1.328; 0.091; 16.3; 3.9; -6.8; 3.9;  0
 823;00 44 46.18;+61 48 58.06;18.827; 0.056;      ;      ; 1.715; 0.127;  3.3; 5.2; -4.2; 5.2; 50
 824;00 44 46.19;+61 47 20.33;15.431; 0.006; 0.476; 0.015; 1.091; 0.010; -1.0; 3.8; -4.3; 3.8; 58
 825;00 44 46.43;+61 52 31.52;10.004; 0.001;-0.011; 0.001; 0.149; 0.001; -5.4; 2.0;  1.7; 2.0; 86
 826;00 44 46.57;+61 46 13.92;15.895; 0.008; 1.072; 0.026; 1.054; 0.013; -2.9; 3.8;  7.0; 3.8; 47
 827;00 44 46.78;+61 50 54.10;12.644; 0.002; 0.569; 0.003; 0.889; 0.002;  3.6; 2.8;  6.4; 2.8;  5
 828;00 44 46.89;+61 45 46.53;19.088; 0.067;      ;      ; 1.525; 0.140; -1.3; 4.5; -1.3; 4.5; 86
 829;00 44 46.90;+61 45 00.01;17.548; 0.022; 0.352; 0.059; 1.126; 0.035;  1.9; 3.9; -4.5; 3.9; 38
 830;00 44 46.90;+61 54 00.20;15.517; 0.007; 0.324; 0.014; 0.933; 0.010;  3.1; 3.8; -2.2; 3.8; 36
 831;00 44 46.99;+61 42 53.91;15.923; 0.008; 0.634; 0.022; 1.010; 0.013; -4.5; 3.8; -3.8; 3.8; 78
 832;00 44 47.39;+61 38 34.64;18.156; 0.035; 0.429; 0.139; 1.463; 0.067; 13.2; 3.9;  3.2; 3.9;  1
 833;00 44 47.42;+61 37 36.73;18.027; 0.032; 0.779; 0.127; 1.206; 0.054;  4.5; 3.9; -2.1; 3.9; 27
 834;00 44 47.48;+61 56 49.42;11.608; 0.004; 0.164; 0.004; 0.386; 0.004; -7.5; 2.0; -2.6; 2.0; 42
 835;00 44 47.60;+61 52 12.49;15.818; 0.008; 0.311; 0.016; 0.778; 0.011;  3.3; 3.8; -6.1; 3.8; 20
 836;00 44 47.74;+61 47 22.51;18.466; 0.041;      ;      ; 1.501; 0.081; -6.0; 5.1; 12.7; 5.1; 26
 837;00 44 47.91;+61 41 44.35;17.057; 0.016; 0.399; 0.049; 1.265; 0.027; -3.8; 3.8; -1.6; 3.8; 94
 838;00 44 47.92;+61 55 14.24;19.197; 0.080; 1.224; 0.332; 0.746; 0.114; 13.4; 4.1;-16.0; 4.1;  0
 839;00 44 47.94;+61 53 38.43;13.433; 0.002; 0.045; 0.004; 0.625; 0.003; -6.3; 2.8; -2.3; 2.8; 78
 840;00 44 47.96;+61 52 01.07;18.659; 0.050; 0.757; 0.268; 1.499; 0.101;  4.7; 3.9; -8.5; 3.9;  9
 841;00 44 47.99;+61 45 49.35;19.069; 0.066;      ;      ; 1.251; 0.118; -1.2; 5.3;  0.7; 5.3; 91
