#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-09-24T08:33:09 [V7.5.2]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-09-24T08:33:09	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/MNRAS/466/3636/tablea1&-order=I&-out=More&-out=ID&-out=RAICRS&-out=DEICRS&-out=Vmag&-out=e_Vmag&-out=b-y&-out=e_b-y&-out=m1&-out=e_m1&-out=c1&-out=e_c1&-out=beta&-out=e_beta&-out=Member&-out=IPHAS&-out=2MASS&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.2	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74663636
#Name: J/MNRAS/466/3636
#Title: The young open cluster NGC 7067 (Monguio+, 2017)
#INFO	ivoid=ivo://cds.vizier/j/mnras/466/3636	    IVOID of underlying data collection
#INFO	creator=Monguio M.	    First author or institution
#INFO	cites=bibcode:2017MNRAS.466.3636M	    Article or Data origin sources
#INFO	original_date=2017	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/466/3636	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.74663636	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-08-17	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2000.000:	ICRS
#Table	J_MNRAS_466_3636_tablea1:
#Name: J/MNRAS/466/3636/tablea1
#Title: Coordinates and photometric indexes
#Column	More	(A1)	indicates parameters for B stars or physical parameters for hot stars	[ucd=meta.ref.url]
#Column	ID	(I4)	ID number	[ucd=meta.id;meta.main]
#Column	RAICRS	(A10)	Right ascension (ICRS, Epoch=J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEICRS	(A9)	Declination (ICRS, Epoch=J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F5.2)	Magnitude in Johnson V	[ucd=phot.mag;em.opt.V]
#Column	e_Vmag	(F5.2)	Error in V magnitude	[ucd=stat.error;phot.mag;em.opt.V]
#Column	b-y	(F5.2)	b-y color index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	e_b-y	(F5.2)	Error in b-y color index	[ucd=stat.error;phot.color;em.opt.B]
#Column	m1	(F6.2)	m1 index	[ucd=phot.color]
#Column	e_m1	(F5.2)	Error in m1 index	[ucd=stat.error]
#Column	c1	(F6.2)	? c1 index	[ucd=phot.color]
#Column	e_c1	(F5.2)	? Error in c1 index	[ucd=stat.error]
#Column	beta	(F5.2)	? beta index	[ucd=phot.color]
#Column	e_beta	(F5.2)	? Error in beta	[ucd=stat.error]
#Column	Member	(I1)	[0/1] 1 for member	[ucd=meta.code.member]
#Column	IPHAS	(A19)	IPHAS ID (JHHMMSS.ss+DDMMSS.s)	[ucd=meta.id]
#Column	2MASS	(A16)	2MASS ID (HHMMSSss+DDMMSSs)	[ucd=meta.id]
More;ID;RAICRS;DEICRS;Vmag;e_Vmag;b-y;e_b-y;m1;e_m1;c1;e_c1;beta;e_beta;Member;IPHAS;2MASS
 ;1144;21 25 17.1;+48 03 30;13.40; 0.01; 0.52; 0.00;  0.07; 0.01;  0.49; 0.01; 2.65; 0.01;0;J212517.04+480329.9;21251702+4803298
 ;1145;21 25 16.6;+48 03 35;15.17; 0.01; 0.77; 0.01;  0.00; 0.01;  0.60; 0.01; 2.67; 0.01;0;J212516.57+480335.2;21251655+4803351
*;1146;21 25 12.1;+48 05 16;14.57; 0.01; 0.62; 0.01; -0.05; 0.01;  1.39; 0.02; 2.86; 0.00;0;J212512.03+480516.0;21251202+4805159
*;1147;21 25 01.4;+48 05 20;15.65; 0.01; 0.54; 0.01;  0.11; 0.01;  0.85; 0.01; 2.80; 0.01;0;J212501.34+480519.7;21250132+4805195
 ;1148;21 24 48.0;+48 05 27;14.20; 0.01; 1.19; 0.01;  0.23; 0.00;  0.58; 0.04; 2.63; 0.01;0;J212447.92+480527.0;21244793+4805270
*;1149;21 24 32.1;+48 05 30;13.99; 0.02; 0.37; 0.01;  0.08; 0.00;  0.63; 0.05; 2.79; 0.01;0;J212432.05+480529.1;21243205+4805292
 ;1150;21 24 09.1;+47 57 21;16.48; 0.03; 0.76; 0.01; -0.04; 0.01;  0.53; 0.04; 2.63; 0.01;0;J212409.06+475720.9;
 ;1151;21 23 56.9;+47 54 49;13.87; 0.03; 0.53; 0.01;  0.49; 0.05;  0.15; 0.08; 2.45; 0.03;0;J212356.90+475449.4;21235692+4754494
*;1152;21 25 18.4;+48 03 07;17.01; 0.01; 0.89; 0.01; -0.11; 0.02;  1.29; 0.03; 2.90; 0.01;0;J212518.43+480307.4;21251842+4803073
 ;1153;21 25 18.3;+48 03 48;17.17; 0.02; 0.91; 0.02; -0.09; 0.03;  0.81; 0.02; 2.72; 0.02;0;J212518.28+480348.3;21251827+4803483
*;1154;21 25 18.1;+47 59 43;16.31; 0.01; 0.82; 0.01; -0.05; 0.01;  0.91; 0.03; 2.80; 0.01;0;J212518.13+475942.6;21251812+4759426
 ;1155;21 25 18.0;+48 00 28;17.57; 0.01; 0.99; 0.01; -0.11; 0.02;  0.64; 0.01; 2.66; 0.01;0;J212517.99+480027.9;21251800+4800281
*;1156;21 25 17.9;+47 57 51;16.48; 0.01; 1.11; 0.02; -0.19; 0.03;  0.89; 0.01; 2.76; 0.01;1;J212517.91+475750.7;21251790+4757506
 ;1157;21 25 17.8;+47 57 17;16.20; 0.00; 1.44; 0.00;  0.14; 0.01;  0.53; 0.00; 2.62; 0.01;0;J212517.85+475716.7;21251783+4757166
*;1158;21 25 17.3;+48 00 42;17.73; 0.00; 0.92; 0.00; -0.13; 0.01;  1.09; 0.02; 2.87; 0.01;1;J212517.34+480041.4;21251733+4800413
 ;1159;21 25 17.1;+47 56 08;16.51; 0.01; 0.93; 0.01; -0.06; 0.02;  0.59; 0.01; 2.64; 0.01;0;J212517.04+475608.0;21251702+4756079
 ;1160;21 25 16.6;+48 04 51;17.76; 0.01; 0.94; 0.02; -0.05; 0.01;  0.52; 0.03; 2.62; 0.01;0;J212516.57+480451.0;21251656+4804510
*;1161;21 25 16.4;+47 57 00;18.25; 0.01; 0.95; 0.03; -0.17; 0.05;  0.36; 0.05; 2.68; 0.03;0;J212516.39+475659.8;21251637+4756598
*;1162;21 25 16.2;+47 59 01;16.39; 0.01; 0.84; 0.01; -0.10; 0.01;  0.74; 0.02; 2.75; 0.01;1;J212516.23+475900.1;21251622+4759002
 ;1163;21 25 16.1;+47 55 55;18.02; 0.01; 0.85; 0.03;  0.00; 0.05;  0.51; 0.03; 2.66; 0.01;0;J212516.09+475554.3;21251607+4755543
*;1164;21 25 16.1;+47 56 09;17.64; 0.02; 0.84; 0.00; -0.09; 0.01;  1.21; 0.02; 2.92; 0.02;1;J212516.08+475608.5;21251607+4756084
*;1165;21 25 16.1;+47 55 34;17.86; 0.01; 0.88; 0.02; -0.16; 0.02;  0.51; 0.02; 2.63; 0.02;0;J212516.06+475533.3;21251603+4755331
 ;1166;21 25 16.1;+47 58 55;17.46; 0.01; 1.03; 0.00; -0.06; 0.01;  0.57; 0.05; 2.63; 0.01;0;J212516.10+475855.0;21251609+4758548
*;1167;21 25 15.6;+48 05 05;17.72; 0.02; 0.75; 0.01; -0.06; 0.02;  1.22; 0.03; 2.93; 0.02;1;J212515.60+480505.2;21251560+4805050
 ;1168;21 25 15.5;+48 04 43;17.29; 0.01; 0.91; 0.01; -0.04; 0.02;  0.48; 0.00; 2.62; 0.01;0;J212515.48+480443.6;21251546+4804435
 ;1169;21 25 15.2;+47 55 27;18.43; 0.00; 0.89; 0.04; -0.05; 0.06;  0.56; 0.00; 2.66; 0.01;0;J212515.12+475526.3;21251509+4755261
 ;1170;21 25 15.1;+47 56 45;17.23; 0.01; 1.01; 0.00;  0.31; 0.02;  0.32; 0.04; 2.59; 0.00;0;J212515.10+475644.4;21251507+4756443
 ;1171;21 25 15.1;+48 03 56;18.35; 0.01; 0.88; 0.02; -0.06; 0.04;  0.60; 0.00; 2.59; 0.02;0;J212515.09+480356.5;21251509+4803563
 ;1172;21 25 14.8;+47 59 57;17.86; 0.03; 1.06; 0.03; -0.17; 0.07;  0.70; 0.04; 2.70; 0.01;0;J212514.85+475956.4;21251484+4759563
 ;1173;21 25 14.8;+47 59 13;17.12; 0.01; 1.00; 0.02; -0.09; 0.02;  0.62; 0.01; 2.66; 0.01;0;J212514.77+475912.7;21251476+4759127
*;1174;21 25 14.7;+48 01 32;17.44; 0.01; 0.86; 0.01; -0.09; 0.01;  1.00; 0.02; 2.76; 0.00;0;J212514.71+480132.4;21251470+4801323
 ;1175;21 25 14.6;+48 01 52;17.81; 0.01; 0.89; 0.02; -0.07; 0.03;  0.50; 0.05; 2.66; 0.02;0;J212514.63+480151.6;21251462+4801515
 ;1176;21 25 13.9;+47 59 06;17.83; 0.01; 1.06; 0.02; -0.14; 0.02;  0.57; 0.01; 2.63; 0.02;0;J212513.88+475905.6;21251387+4759057
 ;1177;21 25 13.8;+48 04 19;17.46; 0.01; 0.90; 0.02; -0.06; 0.04;  0.62; 0.02; 2.66; 0.02;0;J212513.77+480419.0;21251376+4804189
 ;1178;21 25 13.6;+48 00 10;17.32; 0.02; 0.90; 0.02; -0.12; 0.03;  0.65; 0.05; 2.65; 0.03;0;J212513.57+480009.6;21251355+4800096
*;1179;21 25 13.3;+48 02 37;17.86; 0.02; 0.92; 0.03; -0.14; 0.04;  0.53; 0.03; 2.65; 0.02;0;J212513.25+480237.3;21251325+4802372
 ;1180;21 25 12.5;+47 59 21;16.56; 0.01; 1.21; 0.02;  0.06; 0.02;  0.60; 0.02; 2.60; 0.01;0;J212512.54+475920.3;21251254+4759202
 ;1181;21 25 12.2;+48 02 26;17.25; 0.01; 1.10; 0.01; -0.01; 0.02;  0.60; 0.02; 2.58; 0.00;0;J212512.21+480226.4;21251219+4802264
 ;1182;21 25 11.8;+47 58 41;16.53; 0.00; 1.39; 0.01; -0.10; 0.00;  0.66; 0.04; 2.62; 0.01;0;J212511.86+475841.0;21251184+4758408
 ;1183;21 25 11.1;+48 01 05;16.98; 0.01; 1.05; 0.01;  0.42; 0.01;  0.14; 0.02; 2.49; 0.00;0;J212511.14+480104.7;21251112+4801047
 ;1184;21 25 10.9;+48 04 46;17.51; 0.38; 1.09; 0.67; -0.53; 1.44;  1.59; 1.54; 1.53; 0.12;0;J212510.84+480445.7;21251083+4804457
*;1185;21 25 10.8;+48 02 34;18.25; 0.01; 1.03; 0.03; -0.25; 0.05;  0.74; 0.04; 2.70; 0.03;0;J212510.81+480233.6;21251082+4802335
 ;1186;21 25 10.4;+47 55 45;17.18; 0.01; 1.07; 0.01; -0.04; 0.01;  0.57; 0.02; 2.62; 0.02;0;J212510.36+475545.1;21251036+4755451
 ;1187;21 25 09.7;+47 56 03;18.08; 0.01; 1.08; 0.01; -0.14; 0.01;  0.51; 0.02; 2.66; 0.01;0;J212509.73+475602.5;21250972+4756024
 ;1188;21 25 09.8;+48 00 55;17.73; 0.00; 0.93; 0.03; -0.03; 0.03;  0.49; 0.05; 2.63; 0.02;0;J212509.77+480055.2;21250976+4800549
 ;1189;21 25 09.5;+48 00 09;17.31; 0.01; 0.88; 0.01; -0.04; 0.01;  0.53; 0.03; 2.66; 0.01;0;J212509.49+480008.9;21250947+4800089
 ;1190;21 25 09.4;+47 55 11;17.90; 0.01; 0.97; 0.01; -0.09; 0.03;  0.57; 0.09; 2.66; 0.03;0;J212509.33+475510.3;21250932+4755102
 ;1191;21 25 09.0;+47 55 37;17.54; 0.01; 0.98; 0.01; -0.09; 0.03;  0.63; 0.03; 2.69; 0.04;0;J212509.03+475536.4;21250902+4755363
 ;1192;21 25 07.0;+47 56 15;17.78; 0.00; 0.97; 0.01; -0.10; 0.02;  0.75; 0.00; 2.72; 0.00;0;J212506.99+475614.7;21250697+4756146
 ;1193;21 25 06.3;+47 55 12;17.13; 0.02; 1.01; 0.02; -0.08; 0.02;  0.60; 0.02; 2.65; 0.01;0;J212506.30+475512.0;21250628+4755119
 ;1194;21 25 06.0;+48 02 24;17.15; 0.01; 1.04; 0.03;  0.30; 0.04;  0.22; 0.07; 2.55; 0.02;0;J212505.98+480224.2;21250597+4802243
 ;1195;21 25 05.6;+48 00 26;16.90; 0.01; 1.05; 0.01; -0.01; 0.01;  0.58; 0.01; 2.62; 0.01;0;J212505.62+480025.6;21250562+4800257
*;1196;21 25 05.2;+48 00 21;17.59; 0.02; 0.93; 0.02; -0.14; 0.03;  0.62; 0.02; 2.68; 0.01;0;J212505.23+480020.3;21250523+4800202
 ;1197;21 25 04.2;+48 01 29;17.57; 0.01; 0.97; 0.02; -0.09; 0.03;  0.57; 0.06; 2.65; 0.01;0;J212504.18+480128.4;21250417+4801284
 ;1198;21 25 03.1;+47 59 23;17.51; 0.02; 0.96; 0.02; -0.08; 0.02;  0.59; 0.02; 2.68; 0.01;0;J212503.10+475922.4;21250309+4759224
 ;1199;21 25 02.9;+47 59 26;17.16; 0.01; 1.12; 0.01;  0.05; 0.03;  0.58; 0.01; 2.61; 0.01;0;J212502.90+475925.5;21250289+4759255
 ;1200;21 25 02.8;+48 05 18;16.41; 0.01; 1.26; 0.01;  0.18; 0.03;  0.45; 0.00; 2.59; 0.01;0;J212502.81+480517.8;21250280+4805177
 ;1201;21 25 02.7;+47 57 38;17.17; 0.01; 1.01; 0.01; -0.08; 0.03;  0.89; 0.02; 2.72; 0.01;0;J212502.68+475737.6;21250267+4757374
 ;1202;21 25 02.3;+47 56 17;17.51; 0.01; 1.03; 0.01; -0.08; 0.02;  0.74; 0.02; 2.70; 0.01;0;J212502.31+475616.9;21250230+4756167
*;1203;21 25 02.3;+48 00 21;17.86; 0.01; 1.03; 0.01; -0.19; 0.01;  0.88; 0.05; 2.66; 0.02;0;J212502.30+480020.5;21250230+4800205
 ;1204;21 25 01.8;+48 01 04;18.01; 0.00; 0.95; 0.01; -0.05; 0.05;  0.52; 0.05; 2.67; 0.00;0;J212501.76+480103.5;21250174+4801034
*;1205;21 25 01.8;+48 05 19;17.61; 0.02; 0.70; 0.01;  0.01; 0.01;  0.93; 0.05; 2.77; 0.02;0;J212501.74+480519.2;21250172+4805191
*;1206;21 25 01.4;+47 58 50;17.43; 0.01; 0.91; 0.02; -0.03; 0.04;  1.09; 0.01; 2.86; 0.01;1;J212501.37+475849.9;21250137+4758499
 ;1207;21 25 00.5;+48 01 33;17.50; 0.01; 0.92; 0.02; -0.13; 0.03;  0.65; 0.01; 2.68; 0.02;0;J212500.50+480132.5;21250050+4801323
 ;1208;21 24 58.8;+48 00 10;17.16; 0.01; 1.05; 0.02;  0.02; 0.05;  0.64; 0.05; 2.63; 0.01;0;J212458.77+480010.0;21245876+4800100
*;1209;21 24 58.5;+47 59 39;18.27; 0.00; 0.95; 0.02; -0.15; 0.05;  0.63; 0.02; 2.63; 0.02;0;J212458.46+475938.7;21245845+4759387
 ;1210;21 24 58.2;+47 57 43;17.02; 0.01; 1.15; 0.02; -0.06; 0.02;  0.67; 0.01; 2.65; 0.01;0;J212458.23+475742.9;21245821+4757428
 ;1211;21 24 57.9;+48 00 38;16.58; 0.01; 1.15; 0.01;  0.06; 0.02;  0.62; 0.02; 2.61; 0.01;0;J212457.94+480037.9;21245793+4800379
 ;1212;21 24 57.8;+47 57 16;17.12; 0.01; 1.12; 0.01; -0.09; 0.03;  0.71; 0.03; 2.71; 0.01;0;J212457.81+475715.4;21245781+4757153
*;1213;21 24 57.0;+48 01 26;17.95; 0.00; 0.94; 0.00; -0.06; 0.00;  0.80; 0.02; 2.78; 0.03;0;J212457.03+480126.2;21245704+4801261
 ;1214;21 24 57.0;+48 04 48;17.46; 0.01; 0.87; 0.01; -0.07; 0.02;  0.66; 0.01; 2.66; 0.01;0;J212456.98+480447.7;21245698+4804476
 ;1215;21 24 56.7;+48 00 44;17.82; 0.01; 0.95; 0.02; -0.12; 0.04;  0.74; 0.04; 2.71; 0.02;0;J212456.74+480043.8;21245673+4800439
 ;1216;21 24 55.7;+48 01 19;18.17; 0.03; 0.96; 0.04; -0.07; 0.06;  0.60; 0.10; 2.62; 0.01;0;J212455.69+480118.7;21245568+4801186
 ;1217;21 24 55.3;+48 00 16;17.53; 0.01; 0.98; 0.01; -0.05; 0.02;  0.59; 0.06; 2.63; 0.02;0;J212455.33+480015.3;21245532+4800153
 ;1218;21 24 55.3;+48 05 23;17.07; 0.02; 0.71; 0.02;  0.01; 0.02;  0.57; 0.02; 2.68; 0.01;0;J212455.29+480522.3;21245529+4805222
 ;1219;21 24 54.9;+48 00 58;17.43; 0.02; 0.85; 0.02; -0.09; 0.04;  0.72; 0.02; 2.69; 0.02;0;J212454.87+480057.7;21245487+4800575
 ;1220;21 24 54.7;+48 00 39;17.35; 0.01; 0.97; 0.00;  0.04; 0.01;  0.52; 0.04; 2.60; 0.02;0;J212454.66+480038.9;21245465+4800389
*;1221;21 24 54.1;+47 57 06;17.30; 0.01; 1.00; 0.00; -0.07; 0.00;  1.27; 0.04; 2.92; 0.01;0;J212454.06+475705.8;21245406+4757058
 ;1222;21 24 53.6;+47 54 24;17.62; 0.01; 0.96; 0.02; -0.08; 0.04;  0.65; 0.03; 2.68; 0.01;0;J212453.51+475423.6;21245351+4754233
 ;1223;21 24 52.9;+48 01 22;17.08; 0.01; 0.96; 0.01; -0.02; 0.01;  0.60; 0.01; 2.62; 0.01;0;J212452.86+480121.4;21245285+4801214
*;1224;21 24 52.7;+47 59 50;17.27; 0.01; 0.87; 0.01; -0.06; 0.01;  0.83; 0.03; 2.74; 0.01;0;J212452.71+475949.3;21245270+4759493
 ;1225;21 24 52.3;+48 04 58;18.07; 0.01; 0.94; 0.01; -0.08; 0.01;  0.49; 0.08; 2.66; 0.01;0;J212452.25+480457.5;21245225+4804574
*;1226;21 24 51.8;+47 55 16;17.96; 0.01; 0.93; 0.00; -0.11; 0.03;  0.79; 0.10; 2.74; 0.01;0;J212451.73+475515.4;
 ;1227;21 24 51.5;+48 00 30;17.79; 0.01; 0.82; 0.02; -0.06; 0.03;  0.62; 0.00; 2.69; 0.01;0;J212451.52+480030.0;21245149+4800300
*;1228;21 24 51.3;+47 57 26;16.86; 0.00; 1.09; 0.01; -0.12; 0.02;  0.80; 0.02; 2.72; 0.01;0;J212451.36+475725.9;21245136+4757259
 ;1229;21 24 51.3;+47 55 16;15.55; 0.01; 1.53; 0.01;  0.44; 0.02;  0.38; 0.02; 2.59; 0.00;0;J212451.26+475515.6;21245126+4755156
*;1230;21 24 51.0;+47 57 29;17.40; 0.01; 1.11; 0.00; -0.10; 0.03;  0.86; 0.06; 2.75; 0.02;0;J212451.02+475728.9;21245103+4757288
*;1231;21 24 50.8;+47 59 09;17.29; 0.01; 0.89; 0.01; -0.06; 0.01;  0.71; 0.01; 2.72; 0.02;0;J212450.77+475908.1;21245076+4759082
 ;1232;21 24 50.3;+47 54 37;17.49; 0.01; 0.98; 0.03; -0.07; 0.05;  0.68; 0.02; 2.68; 0.01;0;J212450.20+475436.3;21245024+4754363
 ;1233;21 24 50.1;+48 01 24;17.44; 0.01; 0.95; 0.03; -0.10; 0.04;  0.64; 0.00; 2.63; 0.02;0;J212450.07+480123.4;21245006+4801234
*;1234;21 24 49.2;+48 03 46;17.90; 0.02; 0.91; 0.01; -0.11; 0.01;  0.99; 0.01; 2.81; 0.02;0;J212449.19+480345.6;21244919+4803455
*;1235;21 24 47.8;+48 05 25;17.60; 0.04; 0.82; 0.04;  0.04; 0.05;  0.93; 0.01; 2.79; 0.03;0;J212447.72+480524.4;
*;1236;21 24 47.8;+47 56 40;16.93; 0.03; 0.98; 0.03; -0.12; 0.04;  0.99; 0.08; 2.75; 0.04;0;J212447.76+475639.9;21244776+4756398
*;1237;21 24 47.4;+48 02 47;17.63; 0.02; 0.93; 0.03; -0.10; 0.03;  1.08; 0.01; 2.80; 0.00;1;J212447.43+480246.9;21244742+4802468
 ;1238;21 24 47.4;+48 04 56;18.38; 0.01; 0.93; 0.03; -0.09; 0.03;  0.61; 0.04; 2.64; 0.01;0;J212447.37+480455.7;21244736+4804556
 ;1239;21 24 47.3;+48 05 26;17.53; 0.01; 0.97; 0.01; -0.02; 0.02;  0.54; 0.02; 2.65; 0.01;0;J212447.27+480525.5;21244728+4805255
*;1240;21 24 46.9;+47 58 25;17.87; 0.01; 0.85; 0.01; -0.17; 0.02;  1.03; 0.02; 2.83; 0.03;0;J212446.94+475824.5;21244690+4758242
 ;1241;21 24 46.6;+48 04 05;17.86; 0.02; 0.94; 0.02; -0.10; 0.00;  0.62; 0.02; 2.65; 0.01;0;J212446.57+480405.1;21244657+4804051
*;1242;21 24 46.0;+48 00 59;17.16; 0.01; 0.75; 0.01; -0.07; 0.01;  1.27; 0.03; 2.94; 0.01;1;J212445.97+480058.6;
 ;1243;21 24 45.2;+47 56 17;17.61; 0.01; 1.11; 0.00; -0.12; 0.00;  0.51; 0.02; 2.59; 0.01;0;J212445.19+475617.2;21244520+4756173
 ;1244;21 24 45.2;+48 04 49;17.01; 0.01; 1.10; 0.02;  0.15; 0.04;  0.52; 0.03; 2.58; 0.00;0;J212445.20+480449.0;21244520+4804489
*;1245;21 24 45.0;+47 58 00;17.31; 0.01; 0.81; 0.01; -0.04; 0.01;  1.22; 0.03; 2.93; 0.00;1;J212445.00+475800.2;21244501+4758002
*;1246;21 24 45.0;+48 00 19;17.85; 0.03; 0.99; 0.01; -0.12; 0.01;  0.70; 0.00; 2.64; 0.04;0;J212444.99+480018.3;21244501+4800183
 ;1247;21 24 44.9;+47 59 01;17.62; 0.02; 0.91; 0.01; -0.08; 0.02;  0.64; 0.02; 2.68; 0.00;0;J212444.87+475900.5;21244488+4759005
 ;1248;21 24 44.6;+48 04 12;17.34; 0.01; 0.94; 0.02;  0.02; 0.03;  0.60; 0.04; 2.65; 0.01;0;J212444.55+480411.7;21244454+4804117
 ;1249;21 24 43.9;+48 00 37;16.90; 0.01; 1.17; 0.01;  0.08; 0.01;  0.59; 0.02; 2.60; 0.01;0;J212443.92+480037.1;21244393+4800371
*;1250;21 24 43.8;+47 59 20;17.19; 0.01; 0.88; 0.01; -0.08; 0.01;  0.96; 0.02; 2.76; 0.02;0;J212443.76+475919.5;21244376+4759195
 ;1251;21 24 43.6;+47 54 25;17.27; 0.01; 0.95; 0.01; -0.06; 0.02;  0.61; 0.02; 2.66; 0.01;0;J212443.53+475425.2;21244354+4754252
 ;1252;21 24 43.6;+47 59 50;17.12; 0.01; 0.96; 0.01; -0.07; 0.01;  0.70; 0.02; 2.68; 0.00;0;J212443.58+475949.4;21244359+4759494
*;1253;21 24 43.6;+48 05 27;17.60; 0.01; 0.82; 0.03; -0.07; 0.04;  0.83; 0.00; 2.75; 0.01;0;J212443.61+480527.0;21244360+4805269
*;1254;21 24 42.9;+47 59 46;18.39; 0.03; 0.91; 0.05; -0.15; 0.08;  0.85; 0.08; 2.71; 0.04;0;J212442.89+475945.6;21244290+4759458
 ;1255;21 24 42.7;+48 00 56;16.43; 0.01; 1.01; 0.01; -0.01; 0.02;  0.55; 0.02; 2.62; 0.00;0;J212442.71+480056.0;21244272+4800561
*;1256;21 24 42.3;+48 01 13;17.49; 0.01; 0.82; 0.01; -0.02; 0.03;  0.82; 0.02; 2.76; 0.01;0;J212442.24+480112.4;21244225+4801125
 ;1257;21 24 42.1;+48 04 23;18.37; 0.02; 0.90; 0.02; -0.09; 0.03;  0.56; 0.02; 2.67; 0.03;0;J212442.10+480422.9;21244210+4804229
*;1258;21 24 41.9;+47 59 50;17.67; 0.01; 0.73; 0.02; -0.09; 0.02;  1.18; 0.05; 2.92; 0.01;1;J212441.84+475950.2;21244185+4759502
 ;1259;21 24 40.3;+47 54 22;17.52; 0.01; 0.92; 0.01; -0.07; 0.01;  0.55; 0.00; 2.64; 0.01;0;J212440.30+475421.7;21244032+4754217
 ;1260;21 24 40.3;+47 59 17;17.73; 0.02; 0.95; 0.01; -0.06; 0.01;  0.57; 0.01; 2.64; 0.01;0;J212440.34+475917.0;21244033+4759170
 ;1261;21 24 40.3;+48 04 19;18.29; 0.01; 0.91; 0.03; -0.04; 0.02;  0.50; 0.07; 2.63; 0.03;0;J212440.28+480419.1;21244028+4804190
 ;1262;21 24 39.9;+47 57 21;15.13; 0.01; 1.54; 0.01;  0.35; 0.02;  0.50; 0.03; 2.63; 0.01;0;J212439.95+475721.2;21243995+4757212
*;1263;21 24 39.3;+47 55 19;17.74; 0.01; 0.80; 0.01; -0.09; 0.02;  0.92; 0.04; 2.84; 0.01;0;J212439.31+475518.6;21243938+4755197
 ;1264;21 24 39.1;+47 55 33;17.54; 0.01; 0.88; 0.01; -0.05; 0.01;  0.68; 0.03; 2.70; 0.00;0;J212439.12+475532.4;21243913+4755323
 ;1265;21 24 39.1;+47 58 54;17.31; 0.01; 0.93; 0.02; -0.07; 0.02;  0.63; 0.01; 2.64; 0.01;0;J212439.11+475853.5;21243911+4758534
*;1266;21 24 39.1;+47 58 38;17.88; 0.03; 0.87; 0.02; -0.05; 0.05;  0.78; 0.01; 2.73; 0.00;0;J212439.07+475837.7;21243905+4758376
*;1267;21 24 39.0;+47 56 49;17.62; 0.02; 1.27; 0.83; -0.48; 1.49;  1.97; 1.61; 2.76; 0.04;0;J212438.95+475648.9;21243895+4756489
 ;1268;21 24 38.7;+47 58 10;17.09; 0.01; 1.14; 0.02; -0.10; 0.03;  0.61; 0.04; 2.65; 0.02;0;J212438.67+475810.0;21243867+4758100
 ;1269;21 24 38.7;+48 03 14;16.77; 0.06; 1.23; 0.06;  0.08; 0.14;  0.64; 0.16; 2.58; 0.01;0;J212438.65+480313.7;21243866+4803137
*;1270;21 24 38.2;+48 03 44;18.13; 0.01; 0.92; 0.00; -0.11; 0.01;  0.76; 0.02; 2.67; 0.02;0;J212438.23+480343.6;21243822+4803436
 ;1271;21 24 38.2;+47 59 26;17.81; 0.01; 0.94; 0.01; -0.07; 0.04;  0.52; 0.06; 2.63; 0.02;0;J212438.22+475925.4;21243821+4759253
 ;1272;21 24 38.1;+48 00 01;18.06; 0.02; 0.73; 0.00; -0.04; 0.00;  1.12; 0.00; 2.98; 0.00;1;J212438.04+480000.9;21243805+4800008
*;1273;21 24 37.4;+47 55 49;17.30; 0.01; 0.83; 0.01; -0.01; 0.02;  0.77; 0.02; 2.75; 0.02;0;J212437.42+475548.9;21243741+4755490
*;1274;21 24 37.4;+47 58 27;18.09; 0.01; 0.83; 0.00; -0.12; 0.01;  0.99; 0.01; 2.84; 0.01;0;J212437.42+475826.5;21243742+4758264
 ;1275;21 24 37.3;+48 04 40;18.14; 0.04; 0.87; 0.03; -0.06; 0.03;  0.63; 0.02; 2.67; 0.03;0;J212437.27+480439.9;21243727+4804399
 ;1276;21 24 37.1;+47 58 04;17.55; 0.01; 0.99; 0.01; -0.10; 0.02;  0.60; 0.04; 2.63; 0.02;0;J212437.07+475803.6;21243708+4758036
 ;1277;21 24 36.8;+48 00 02;17.92; 0.01; 0.81; 0.01; -0.02; 0.01;  0.54; 0.03; 2.65; 0.03;0;J212436.83+480001.8;21243682+4800019
 ;1278;21 24 36.3;+47 58 24;18.18; 0.01; 0.92; 0.00; -0.10; 0.02;  0.53; 0.02; 2.62; 0.04;0;J212436.30+475823.6;21243631+4758236
