#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-09-24T06:03:41 [V7.5.2]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-09-24T06:03:41	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/AN/342/538/table2&-order=I&-out=ID&-out=RAJ2000&-out=DEJ2000&-out=Vmag&-out=e_Vmag&-out=U-B&-out=e_U-B&-out=B-V&-out=e_B-V&-out=Gmag&-out=e_Gmag&-out=BP-RP&-out=e_BP-RP&-out=pmRA&-out=e_pmRA&-out=pmDE&-out=e_pmDE&-out=Plx&-out=e_Plx&-out=Pmemb&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.2	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_113420538
#Name: J/AN/342/538
#Title: Frolov 1 and NGC 7510 CCD UBV photometry (Yontan+, 2021)
#INFO	ivoid=ivo://cds.vizier/j/an/342/538	    IVOID of underlying data collection
#INFO	creator=Yontan T.	    First author or institution
#INFO	cites=bibcode:2021AN....342..538Y	    Article or Data origin sources
#INFO	editor=Astronomische Nachrichten	    Editor name (article)
#INFO	original_date=2021	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AN/342/538	    Dataset landing page
#INFO	publication_date=2022-12-05	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_AN_342_538_table2:
#Name: J/AN/342/538/table2
#Title: Photometric and astrometric catalogue NGC 7510
#Column	ID	(I4)	Sequential number	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A11)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A12)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F6.3)	Johnson V magnitude	[ucd=phot.mag;em.opt.V]
#Column	e_Vmag	(F6.3)	? rms uncertainty on Vmag	[ucd=stat.error;phot.mag]
#Column	U-B	(F6.3)	? Johnson U-B colour index	[ucd=phot.color;em.opt.U;em.opt.B]
#Column	e_U-B	(F6.3)	? rms uncertainty on U-B	[ucd=stat.error;phot.color;em.opt.U]
#Column	B-V	(F6.3)	? Johnson B-V colour index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	e_B-V	(F6.3)	? rms uncertainty on B-V	[ucd=stat.error;phot.color;em.opt.B]
#Column	Gmag	(F6.3)	? Gaia G magnitude	[ucd=phot.mag;em.opt]
#Column	e_Gmag	(F6.3)	? rms uncertainty on Gmag	[ucd=stat.error;phot.mag]
#Column	BP-RP	(F6.3)	? Gaia BP-RP colour index	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	e_BP-RP	(F6.3)	? rms uncertainty on BP-RP	[ucd=stat.error]
#Column	pmRA	(F8.3)	? proper motion components (pmRA*cosDE)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F6.3)	? rms uncertainty on proper motion	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F8.3)	? proper motion components (pmdec)	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F6.3)	? rms uncertainty on proper motion	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	Plx	(F8.3)	? trigonometric parallax	[ucd=pos.parallax.trig]
#Column	e_Plx	(F6.3)	? rms uncertainty on trigonometric parallax	[ucd=stat.error;pos.parallax]
#Column	Pmemb	(F5.2)	[0/1]? Membership probability	[ucd=stat]
ID;RAJ2000;DEJ2000;Vmag;e_Vmag;U-B;e_U-B;B-V;e_B-V;Gmag;e_Gmag;BP-RP;e_BP-RP;pmRA;e_pmRA;pmDE;e_pmDE;Plx;e_Plx;Pmemb
  95;23 09 46.39;+60 26 00.42;16.908; 0.011;      ;      ; 1.347; 0.014;16.492; 0.001; 1.730; 0.006;  -2.909; 0.097;  -1.579; 0.081;   1.010; 0.061; 0.04
  96;23 09 46.55;+60 31 14.29;16.796; 0.010; 0.940; 0.026; 1.241; 0.012;16.503; 0.001; 1.531; 0.007;  -1.918; 0.079;  -0.116; 0.069;   0.922; 0.047; 0.00
  97;23 09 46.65;+60 42 32.68;17.847; 0.023; 0.245; 0.044; 1.116; 0.027;17.609; 0.001; 1.484; 0.016;  -1.661; 0.148;  -1.013; 0.121;   0.342; 0.082; 0.00
  98;23 09 46.66;+60 37 03.04;15.862; 0.006; 2.760; 0.037; 1.712; 0.008;15.268; 0.001; 2.023; 0.003;   0.519; 0.045;  -0.649; 0.040;   0.307; 0.025; 0.00
  99;23 09 46.77;+60 25 54.01;15.673; 0.005; 0.798; 0.028; 1.466; 0.007;15.099; 0.000; 1.973; 0.004;  -3.665; 0.045;  -2.273; 0.039;   0.326; 0.029; 0.90
 100;23 09 46.88;+60 29 04.10;15.123; 0.004; 0.401; 0.006; 0.936; 0.004;14.871; 0.001; 1.359; 0.006;  -2.367; 0.039;  -3.167; 0.033;   0.750; 0.023; 0.00
 101;23 09 46.92;+60 31 03.63;16.932; 0.011; 0.450; 0.024; 1.288; 0.014;16.602; 0.001; 1.612; 0.007;  -0.309; 0.090;  -0.210; 0.077;   0.554; 0.056; 0.00
 102;23 09 46.92;+60 38 55.22;18.452; 0.037;      ;      ; 1.482; 0.049;17.886; 0.001; 1.944; 0.022;  -3.401; 0.191;  -2.121; 0.174;   0.247; 0.112; 1.00
 103;23 09 47.24;+60 36 55.87;14.274; 0.002; 1.199; 0.012; 1.595; 0.003;13.706; 0.000; 1.907; 0.002;  -0.766; 0.026;  -1.314; 0.023;   0.375; 0.015; 0.00
 104;23 09 47.33;+60 29 15.55;15.516; 0.004; 0.798; 0.010; 1.119; 0.005;15.292; 0.001; 1.421; 0.004;  -5.543; 0.284;  -1.967; 0.235;   2.516; 0.169; 0.08
 105;23 09 47.51;+60 31 29.71;18.990; 0.059;      ;      ; 1.484; 0.076;18.009; 0.001; 2.170; 0.023;  -2.889; 0.184;  -2.758; 0.151;   0.337; 0.117; 0.49
 106;23 09 47.57;+60 31 58.64;18.282; 0.031; 0.481; 0.080; 1.329; 0.039;17.596; 0.001; 1.966; 0.016;  -3.615; 0.141;  -2.477; 0.116;   0.142; 0.087; 1.00
 107;23 09 47.92;+60 24 56.29;15.258; 0.004; 0.755; 0.009; 1.246; 0.005;14.886; 0.000; 1.599; 0.002;   4.508; 0.042;   0.140; 0.035;   0.656; 0.025; 0.00
 108;23 09 48.11;+60 42 09.33;18.296; 0.032; 0.474; 0.074; 1.119; 0.039;17.866; 0.001; 1.626; 0.020;  -2.052; 0.167;   0.293; 0.147;   0.524; 0.103; 0.00
 109;23 09 48.52;+60 37 23.70;15.021; 0.003; 0.389; 0.006; 0.975; 0.004;14.969; 0.010; 1.297; 0.004;        ;      ;        ;      ;        ;      ; 0.00
 110;23 09 48.71;+60 29 43.58;17.932; 0.023; 0.410; 0.056; 1.290; 0.029;17.460; 0.001; 1.727; 0.019;  -4.332; 0.152;  -2.984; 0.135;   0.178; 0.091; 0.21
 111;23 09 48.72;+60 36 23.52;18.994; 0.059;      ;      ; 1.558; 0.078;18.010; 0.001; 2.165; 0.030;  -4.323; 0.193;  -2.646; 0.163;   0.349; 0.107; 0.70
 112;23 09 48.93;+60 31 38.65;18.850; 0.051;      ;      ; 1.083; 0.060;18.053; 0.001; 1.740; 0.021;  -4.629; 0.192;  -4.890; 0.158;   0.407; 0.121; 0.00
 113;23 09 48.93;+60 25 08.07;16.404; 0.008; 0.621; 0.017; 1.188; 0.010;16.048; 0.001; 1.596; 0.006;  -1.733; 0.073;  -4.173; 0.063;   0.570; 0.047; 0.00
 114;23 09 49.00;+60 38 44.70;16.742; 0.010;      ;      ; 1.238; 0.012;16.298; 0.001; 1.741; 0.005;  -4.483; 0.067;  -1.778; 0.060;   0.223; 0.041; 0.00
 115;23 09 49.22;+60 25 45.10;17.497; 0.017;      ;      ; 1.676; 0.024;16.678; 0.001; 2.180; 0.014;  -1.174; 0.100;   4.455; 0.085;   0.347; 0.063; 0.00
 116;23 09 49.66;+60 32 08.10;18.267; 0.031;      ;      ; 1.807; 0.045;17.236; 0.001; 2.374; 0.022;  10.408; 0.115;   1.181; 0.095;   1.478; 0.071; 0.00
 117;23 09 49.69;+60 30 20.39;18.542; 0.041;      ;      ; 1.837; 0.061;17.608; 0.001; 2.254; 0.019;  11.011; 0.182; -23.273; 0.143;   1.819; 0.094; 0.00
 118;23 09 50.08;+60 38 10.01;15.747; 0.005; 0.296; 0.009; 0.967; 0.006;15.528; 0.000; 1.305; 0.004;   0.702; 0.045;  -1.963; 0.040;   0.651; 0.027; 0.00
 119;23 09 50.10;+60 43 02.40;18.465; 0.037; 0.791; 0.093; 1.004; 0.043;17.726; 0.001; 1.801; 0.018;  -3.017; 0.158;  -1.990; 0.132;   0.378; 0.090; 0.72
 120;23 09 50.12;+60 38 40.12;14.260; 0.002; 0.353; 0.012; 0.870; 0.003;14.064; 0.000; 1.205; 0.001;   3.509; 0.026;  -3.018; 0.024;   1.097; 0.016; 0.00
 121;23 09 50.38;+60 38 58.23;12.544; 0.003; 0.303; 0.003; 0.763; 0.004;12.435; 0.000; 1.026; 0.001;   4.442; 0.037;   2.525; 0.033;   0.949; 0.022; 0.00
 122;23 09 50.83;+60 24 03.38;16.500; 0.008; 1.404; 0.065; 1.007; 0.010;16.242; 0.001; 1.404; 0.005;   0.749; 0.071;  -0.630; 0.062;   0.375; 0.045; 0.00
 123;23 09 50.87;+60 39 37.01;18.054; 0.025; 0.242; 0.052; 1.179; 0.031;17.627; 0.001; 1.638; 0.018;  -3.183; 0.153;  -2.098; 0.129;   0.391; 0.087; 0.92
 124;23 09 51.09;+60 42 05.92;18.095; 0.027; 0.707; 0.079; 1.258; 0.034;17.694; 0.001; 1.680; 0.016;  -5.987; 0.147;  -3.385; 0.127;   0.619; 0.085; 0.00
 125;23 09 51.23;+60 44 05.90;18.553; 0.044;      ;      ; 1.684; 0.061;17.740; 0.001; 1.951; 0.026;   0.986; 0.161;  -2.501; 0.132;   1.107; 0.090; 0.00
 126;23 09 51.41;+60 41 35.48;17.218; 0.013; 0.484; 0.028; 1.211; 0.016;16.924; 0.001; 1.566; 0.009;  -1.095; 0.097;  -0.475; 0.082;   0.342; 0.056; 0.00
 127;23 09 51.57;+60 36 37.30;17.408; 0.015; 0.833; 0.040; 1.271; 0.019;16.932; 0.001; 1.752; 0.010;  -3.975; 0.096;  -2.609; 0.087;   0.196; 0.058; 0.86
 128;23 09 51.63;+60 32 18.05;18.947; 0.054; 0.375; 0.106; 1.022; 0.064;18.258; 0.002; 1.690; 0.022;   0.602; 0.211;  -0.563; 0.170;   0.448; 0.130; 0.00
 129;23 09 51.83;+60 33 08.97;17.768; 0.019; 0.460; 0.046; 1.214; 0.024;17.618; 0.007; 1.684; 0.013; -14.814; 1.191;  -6.303; 0.998;   1.990; 0.739; 0.00
 130;23 09 52.04;+60 31 57.10;14.292; 0.002; 0.242; 0.004; 0.765; 0.003;14.133; 0.000; 1.099; 0.001;  -2.437; 0.034;  -1.140; 0.030;   1.004; 0.021; 0.00
 131;23 09 52.13;+60 31 08.03;17.811; 0.021; 0.183; 0.039; 1.112; 0.025;17.434; 0.001; 1.560; 0.010;  -4.671; 0.138;  -3.766; 0.112;   0.270; 0.082; 0.00
 132;23 09 52.42;+60 25 09.62;18.341; 0.035; 0.919; 0.108; 1.167; 0.042;17.730; 0.001; 1.686; 0.014;  -0.143; 0.172;  -0.528; 0.135;   0.393; 0.102; 0.00
 133;23 09 52.56;+60 42 40.90;15.879; 0.005; 0.512; 0.011; 1.076; 0.007;15.650; 0.000; 1.440; 0.005;  -3.340; 0.050;  -2.406; 0.044;   0.557; 0.029; 1.00
 134;23 09 52.58;+60 35 08.99;18.101; 0.026; 0.588; 0.072; 1.325; 0.033;17.553; 0.001; 1.882; 0.018;  -3.900; 0.152;  -2.452; 0.125;   0.482; 0.091; 0.98
 135;23 09 52.61;+60 41 29.52;16.551; 0.008; 0.570; 0.016; 1.074; 0.010;16.260; 0.001; 1.474; 0.005;   0.566; 0.072;  -1.172; 0.059;   0.427; 0.041; 0.00
 136;23 09 52.92;+60 27 12.61;17.995; 0.026; 0.343; 0.094; 1.865; 0.039;17.056; 0.001; 2.470; 0.014;  -2.613; 0.126;  -1.340; 0.100;   0.190; 0.078; 0.00
 137;23 09 53.00;+60 30 11.21;17.257; 0.014; 0.647; 0.030; 1.156; 0.017;16.862; 0.001; 1.584; 0.009;  -5.685; 0.126;  -2.927; 0.099;   0.622; 0.072; 0.00
 138;23 09 53.08;+60 40 37.41;17.935; 0.024;      ;      ; 1.357; 0.031;17.474; 0.001; 1.758; 0.015;  -2.579; 0.140;  -0.745; 0.128;   0.542; 0.082; 0.00
 139;23 09 53.50;+60 27 25.87;18.771; 0.052;      ;      ; 1.719; 0.073;17.716; 0.001; 2.252; 0.021;  -3.736; 0.174;  -2.371; 0.133;   0.245; 0.100; 1.00
 140;23 09 53.73;+60 40 48.24;12.632; 0.003; 0.275; 0.003; 0.629; 0.004;12.587; 0.000; 0.876; 0.001;   0.330; 0.044;  -1.987; 0.037;   0.642; 0.025; 0.00
 141;23 09 53.74;+60 31 45.63;18.444; 0.034; 0.528; 0.086; 1.221; 0.042;17.826; 0.001; 1.770; 0.016;  -4.630; 0.169;  -5.018; 0.139;   0.382; 0.104; 0.00
 142;23 09 53.96;+60 36 45.71;16.807; 0.010; 1.117; 0.033; 1.377; 0.013;16.422; 0.001; 1.650; 0.006;   2.946; 0.081;   0.642; 0.070;   0.615; 0.050; 0.00
 143;23 09 54.27;+60 27 21.85;18.669; 0.051;      ;      ; 1.288; 0.086;18.251; 0.002; 1.752; 0.033;  -4.862; 0.227;  -3.211; 0.176;   0.481; 0.136; 0.07
 144;23 09 54.31;+60 34 50.96;15.163; 0.004; 0.305; 0.006; 0.947; 0.004;14.942; 0.000; 1.277; 0.002;  -0.627; 0.038;   0.129; 0.034;   0.779; 0.023; 0.00
 145;23 09 54.32;+60 40 30.15;13.998; 0.002; 0.310; 0.003; 0.697; 0.002;13.876; 0.000; 1.058; 0.002;   0.209; 0.027;  -0.760; 0.026;   0.432; 0.016; 0.00
 146;23 09 54.46;+60 35 53.23;17.069; 0.012; 0.576; 0.027; 1.316; 0.015;16.607; 0.002; 1.824; 0.008;   0.188; 0.556;   0.599; 0.498;   0.482; 0.314; 0.00
 147;23 09 54.47;+60 31 37.47;16.714; 0.009; 1.198; 0.078; 0.997; 0.014;16.492; 0.001; 1.345; 0.006;  -4.652; 0.079;  -2.638; 0.067;   0.221; 0.048; 0.00
 148;23 09 54.52;+60 37 22.38;18.946; 0.055;      ;      ; 2.002; 0.147;18.368; 0.002; 1.867; 0.033;  -0.874; 0.294;  -1.421; 0.240;   0.157; 0.165; 0.00
 149;23 09 54.67;+60 33 09.32;19.084; 0.068;      ;      ; 3.221; 0.410;      ;      ;      ;      ;        ;      ;        ;      ;        ;      ; 0.00
 150;23 09 54.86;+60 24 56.66;16.884; 0.011; 0.703; 0.032; 1.525; 0.015;16.228; 0.001; 2.107; 0.006;  -1.310; 0.088;  -1.504; 0.070;   0.363; 0.051; 0.00
 151;23 09 54.87;+60 39 34.94;17.568; 0.017; 0.285; 0.034; 1.137; 0.020;17.287; 0.001; 1.511; 0.013;  -2.919; 0.117;  -2.881; 0.100;   0.339; 0.071; 0.11
 152;23 09 54.92;+60 43 59.29;17.291; 0.014; 0.470; 0.027; 1.104; 0.017;17.318; 0.001; 1.572; 0.036;  -1.391; 0.120;  -2.162; 0.102;   0.376; 0.070; 0.00
 153;23 09 54.99;+60 32 32.90;18.698; 0.043; 0.422; 0.106; 1.252; 0.054;18.206; 0.002; 1.725; 0.029;  -0.544; 0.223;  -2.427; 0.185;   0.459; 0.138; 0.00
 154;23 09 55.12;+60 24 44.72;15.080; 0.003; 0.478; 0.006; 0.846; 0.004;14.941; 0.000; 1.203; 0.002;  -5.002; 0.043;  -1.906; 0.034;   0.541; 0.024; 0.00
 155;23 09 55.15;+60 31 34.41;16.419; 0.008; 0.721; 0.044; 1.131; 0.012;16.115; 0.001; 1.484; 0.004;  -5.391; 0.068;  -2.981; 0.059;   0.586; 0.043; 0.00
 156;23 09 55.19;+60 28 45.35;18.414; 0.036;      ;      ; 2.082; 0.097;17.699; 0.001; 2.113; 0.018;  -6.374; 0.172;  -4.552; 0.140;   0.282; 0.101; 0.00
 157;23 09 55.22;+60 30 01.87;18.331; 0.035;      ;      ; 2.581; 0.072;16.625; 0.001; 3.035; 0.016;  -3.280; 0.107;  -2.297; 0.089;   0.182; 0.063; 0.98
 158;23 09 55.26;+60 38 58.26;18.158; 0.030;      ;      ; 3.284; 0.183;15.624; 0.001; 4.047; 0.016;  -1.632; 0.116;   0.175; 0.106;   0.052; 0.071; 0.00
 159;23 09 55.32;+60 37 57.11;19.482; 0.090;      ;      ; 1.649; 0.190;18.176; 0.001; 2.109; 0.031;  -4.463; 0.209;  -2.622; 0.174;   0.539; 0.122; 0.60
 160;23 09 55.33;+60 28 24.52;18.692; 0.045; 0.481; 0.079; 0.825; 0.051;17.906; 0.001; 1.737; 0.024;  -2.878; 0.185;  -0.533; 0.153;   0.340; 0.112; 0.00
 161;23 09 55.38;+60 25 44.16;17.461; 0.016; 0.681; 0.039; 1.263; 0.020;17.077; 0.001; 1.648; 0.009;  -4.859; 0.122;  -4.030; 0.098;   0.414; 0.074; 0.00
 162;23 09 55.77;+60 29 11.83;16.759; 0.010; 1.716; 0.046; 1.431; 0.013;16.280; 0.001; 1.718; 0.004;   5.828; 0.090;  -6.384; 0.077;   1.579; 0.052; 0.00
 163;23 09 55.91;+60 31 52.24;17.541; 0.016; 0.776; 0.047; 1.236; 0.020;17.133; 0.001; 1.639; 0.010;  -0.119; 0.115;  -0.449; 0.098;   0.276; 0.071; 0.00
 164;23 09 56.22;+60 32 36.90;17.167; 0.012; 0.467; 0.024; 1.081; 0.015;16.757; 0.001; 1.544; 0.010;  -3.543; 0.093;  -6.397; 0.081;   0.400; 0.057; 0.00
 165;23 09 56.36;+60 24 22.04;16.480; 0.008;      ;      ; 1.694; 0.012;16.088; 0.002;      ;      ;  11.345; 0.120; -10.217; 0.114;   2.063; 0.059; 0.00
 166;23 09 56.38;+60 34 04.74;18.968; 0.056;      ;      ; 1.904; 0.087;18.342; 0.002; 1.930; 0.026;  -2.247; 0.312;  -1.863; 0.271;  -0.004; 0.183; 0.38
 167;23 09 56.48;+60 29 53.56;14.559; 0.003; 1.655; 0.014; 1.830; 0.004;13.820; 0.000; 2.142; 0.003;  -3.812; 0.034;  -1.741; 0.029;   0.513; 0.020; 0.01
 168;23 09 56.51;+60 38 04.24;17.229; 0.013; 0.506; 0.028; 1.201; 0.016;16.809; 0.001; 1.642; 0.009;  -1.627; 0.087;  -9.303; 0.077;   0.435; 0.052; 0.00
 169;23 09 56.61;+60 31 33.79;18.184; 0.027; 0.684; 0.077; 1.212; 0.034;17.930; 0.001; 1.638; 0.026;  -3.248; 0.190;  -2.083; 0.156;   0.381; 0.121; 0.98
 170;23 09 56.67;+60 27 17.25;18.232; 0.031; 0.705; 0.095; 1.349; 0.039;17.566; 0.001; 1.859; 0.023;  -0.615; 0.153;   4.127; 0.119;   0.484; 0.092; 0.00
 171;23 09 57.13;+60 43 38.92;17.226; 0.014; 0.506; 0.029; 1.205; 0.017;16.913; 0.001; 1.526; 0.015;  -4.137; 0.094;  -1.403; 0.081;   0.434; 0.055; 0.02
 172;23 09 57.58;+60 31 10.79;19.386; 0.078;      ;      ; 0.778; 0.087;18.261; 0.002; 1.754; 0.030;  -2.483; 0.222;  -4.061; 0.183;   0.194; 0.138; 0.00
 173;23 09 57.74;+60 43 48.44;15.122; 0.004; 1.269; 0.011; 1.225; 0.005;14.823; 0.000; 1.495; 0.003;  27.452; 0.035;  -5.516; 0.030;   2.474; 0.021; 0.00
 174;23 09 57.83;+60 31 33.95;17.639; 0.018; 0.476; 0.043; 1.260; 0.022;17.181; 0.001; 1.670; 0.010;  -2.117; 0.128;  -2.923; 0.107;   0.383; 0.072; 0.00
 175;23 09 57.94;+60 26 56.93;16.124; 0.007; 0.798; 0.015; 1.198; 0.008;15.811; 0.001; 1.520; 0.004;  -1.388; 0.060;   0.531; 0.049;   0.857; 0.037; 0.00
 176;23 09 58.58;+60 42 17.01;16.405; 0.008; 0.523; 0.014; 0.990; 0.009;16.195; 0.001; 1.367; 0.005;  -2.798; 0.067;  -2.378; 0.055;   0.367; 0.039; 0.01
 177;23 09 58.77;+60 43 08.43;17.201; 0.014;      ;      ; 3.006; 0.036;15.287; 0.001; 3.482; 0.009;  -2.062; 0.102;  -1.366; 0.087;   0.047; 0.061; 0.00
 178;23 09 58.98;+60 29 10.36;18.947; 0.056;      ;      ; 1.597; 0.076;18.017; 0.001; 2.116; 0.030;  -3.530; 0.209;  -1.986; 0.171;   0.279; 0.125; 1.00
 179;23 09 59.07;+60 29 27.36;18.814; 0.050; 0.158; 0.101; 1.274; 0.061;18.007; 0.001; 1.866; 0.017;  -1.855; 0.215;   0.419; 0.167;   0.375; 0.125; 0.00
 180;23 09 59.09;+60 38 03.69;18.422; 0.033; 0.289; 0.077; 1.297; 0.041;17.906; 0.001; 1.777; 0.023;  -3.512; 0.169;   1.974; 0.143;   0.339; 0.098; 0.00
 181;23 09 59.87;+60 30 07.29;18.587; 0.040;      ;      ; 1.140; 0.048;17.828; 0.001; 1.818; 0.018;   8.849; 0.196;  -7.045; 0.143;   0.808; 0.107; 0.00
 182;23 09 59.87;+60 28 53.68;15.648; 0.005; 0.402; 0.009; 1.053; 0.006;15.384; 0.000; 1.397; 0.003;   1.647; 0.050;  -0.963; 0.042;   0.934; 0.030; 0.00
 183;23 10 00.05;+60 39 52.79;12.721; 0.003;-0.148; 0.002; 1.011; 0.004;12.437; 0.001; 1.409; 0.004;  -3.613; 0.041;  -2.339; 0.037;   0.274; 0.026; 0.92
 184;23 10 00.11;+60 43 25.30;18.413; 0.036;      ;      ; 1.536; 0.048;17.827; 0.001; 1.783; 0.018;   9.424; 0.165;  -3.906; 0.141;   0.553; 0.097; 0.00
 185;23 10 00.18;+60 37 09.43;18.283; 0.030; 0.391; 0.089; 1.537; 0.040;17.691; 0.001; 1.942; 0.020;  -1.543; 0.190;  -3.556; 0.166;   0.496; 0.113; 0.00
 186;23 10 00.19;+60 27 58.57;15.864; 0.005; 0.704; 0.013; 1.322; 0.007;15.434; 0.000; 1.701; 0.004;   3.540; 0.050;  -1.938; 0.041;   0.512; 0.030; 0.00
 187;23 10 00.24;+60 35 28.27;17.839; 0.020; 0.618; 0.053; 1.226; 0.025;17.301; 0.001; 1.649; 0.010;  -4.055; 0.119;  -3.199; 0.103;   0.545; 0.072; 0.02
 188;23 10 00.59;+60 29 19.85;17.412; 0.015;      ;      ; 1.429; 0.027;17.139; 0.001; 1.724; 0.010;  -2.496; 0.184;  -0.030; 0.152;  -0.100; 0.112; 0.00
 189;23 10 00.72;+60 28 26.38;17.770; 0.020; 0.755; 0.069; 1.496; 0.026;17.146; 0.001; 1.899; 0.014;  -5.057; 0.130;   0.484; 0.102;   0.531; 0.072; 0.00
 190;23 10 00.76;+60 36 35.40;13.167; 0.004; 0.254; 0.002; 0.947; 0.004;      ;      ;      ;      ;        ;      ;        ;      ;        ;      ; 0.00
 191;23 10 00.90;+60 26 05.24;17.090; 0.013; 1.063; 0.047; 1.583; 0.017;16.040; 0.001; 2.540; 0.006; -13.949; 0.118;   4.285; 0.097;   5.895; 0.070; 0.00
 192;23 10 01.00;+60 26 51.70;17.120; 0.013; 0.898; 0.037; 1.382; 0.016;16.703; 0.001; 1.707; 0.008;  -3.681; 0.104;  -7.107; 0.084;   0.564; 0.061; 0.00
 193;23 10 01.04;+60 25 43.01;18.945; 0.059; 0.297; 0.107; 1.037; 0.068;18.051; 0.001; 1.897; 0.017;  -3.317; 0.197;  -1.545; 0.155;   0.433; 0.120; 0.57
 194;23 10 01.08;+60 38 08.17;18.956; 0.055;      ;      ; 1.686; 0.077;18.132; 0.001; 2.063; 0.027;  -3.243; 0.214;  -2.000; 0.178;   0.273; 0.121; 0.98
 195;23 10 01.46;+60 40 59.56;17.622; 0.018;      ;      ; 1.559; 0.024;17.046; 0.001; 1.921; 0.014;   2.921; 0.110;  -2.094; 0.092;   0.327; 0.063; 0.00
 196;23 10 01.49;+60 34 51.28;18.692; 0.042;      ;      ; 1.305; 0.053;18.117; 0.001; 1.796; 0.040;  -4.203; 0.208;  -2.554; 0.169;   0.459; 0.131; 0.88
 197;23 10 01.51;+60 41 27.25;15.494; 0.004; 0.486; 0.008; 0.898; 0.005;15.312; 0.000; 1.250; 0.003;  -2.447; 0.044;  -3.235; 0.038;   0.473; 0.026; 0.00
 198;23 10 01.51;+60 26 44.88;17.476; 0.016; 1.720; 0.093; 1.479; 0.022;16.847; 0.001; 1.876; 0.010;  -2.119; 0.101; -11.396; 0.081;   1.387; 0.062; 0.00
 199;23 10 01.61;+60 39 47.07;18.119; 0.027; 0.510; 0.097; 1.673; 0.038;17.247; 0.001; 2.316; 0.014;  -1.548; 0.121;  -1.442; 0.113;   0.154; 0.074; 0.00
 200;23 10 01.64;+60 37 24.00;17.284; 0.013; 0.611; 0.029; 1.120; 0.016;16.849; 0.001; 1.633; 0.010;  -2.889; 0.091;  -1.938; 0.079;   0.160; 0.053; 0.15
 201;23 10 01.79;+60 40 55.23;17.706; 0.019;      ;      ; 1.650; 0.026;16.909; 0.001; 2.203; 0.011;   6.274; 0.098;  -4.986; 0.082;   1.605; 0.058; 0.00
 202;23 10 01.80;+60 38 23.64;17.058; 0.012; 0.584; 0.025; 1.183; 0.014;16.650; 0.001; 1.607; 0.005;  -3.509; 0.081;  -1.332; 0.071;   0.381; 0.049; 0.00
 203;23 10 01.87;+60 36 17.11;18.673; 0.041; 0.305; 0.099; 1.280; 0.052;18.164; 0.002; 1.683; 0.026;  -2.552; 0.197;  -3.115; 0.168;   0.319; 0.118; 0.10
 204;23 10 01.96;+60 43 46.56;18.640; 0.045; 0.443; 0.118; 1.347; 0.056;18.112; 0.001; 1.766; 0.027;  -0.330; 0.192;  -2.523; 0.160;   0.219; 0.112; 0.00
 205;23 10 02.02;+60 41 20.44;17.621; 0.018; 0.547; 0.060; 1.514; 0.034;17.601; 0.002; 1.658; 0.027;  -7.756; 0.184;  -8.326; 0.148;   0.872; 0.108; 0.00
 206;23 10 02.66;+60 33 02.67;15.802; 0.005; 1.042; 0.013; 1.123; 0.006;15.518; 0.001; 1.388; 0.003;  30.133; 0.049;   5.865; 0.042;   1.635; 0.029; 0.00
 207;23 10 02.68;+60 32 30.71;17.372; 0.014; 0.473; 0.028; 1.125; 0.017;17.011; 0.001; 1.494; 0.010;  -2.877; 0.111;  -3.121; 0.101;   0.375; 0.066; 0.01
 208;23 10 02.73;+60 35 29.41;18.650; 0.041; 0.626; 0.101; 1.111; 0.049;17.827; 0.001; 1.923; 0.029;  -2.412; 0.171;  -1.113; 0.149;   0.036; 0.102; 0.01
 209;23 10 02.94;+60 32 50.41;17.008; 0.011; 0.433; 0.022; 1.134; 0.014;16.709; 0.001; 1.458; 0.008;  -4.630; 0.091;  -2.477; 0.078;   0.473; 0.055; 0.01
 210;23 10 02.96;+60 32 02.23;14.011; 0.002; 0.293; 0.003; 0.716; 0.002;13.846; 0.000; 1.072; 0.002;  -3.559; 0.030;  -3.803; 0.026;   0.675; 0.017; 0.00
